Year,Measurement,Value,Unit,Year_simple,icon,signif
,,,,,,
2018,Sucklers,1.84,Median BD100,7,oscilate,
2019,Sucklers,1.68,Median BD100,8,oscilate,
2020,Sucklers,1.63,Median BD100,9,oscilate,
2021,Sucklers,1.64,Median BD100,10,oscilate,
2022,Sucklers,0.91,Median BD100,11,oscilate,
2018,Sucklers,1.84,Median BD100,7,oscilate,
2019,Sucklers,1.68,Median BD100,8,oscilate,
2020,Sucklers,1.63,Median BD100,9,oscilate,
2021,Sucklers,1.64,Median BD100,10,oscilate,
2022,Sucklers,0.91,Median BD100,11,oscilate,
2018,Sucklers,1.84,Median BD100,7,oscilate,
2019,Sucklers,1.68,Median BD100,8,oscilate,
2020,Sucklers,1.63,Median BD100,9,oscilate,
2021,Sucklers,1.64,Median BD100,10,oscilate,
2022,Sucklers,0.91,Median BD100,11,oscilate,
2018,Sucklers,1.84,Median BD100,7,oscilate,
2019,Sucklers,1.68,Median BD100,8,oscilate,
2020,Sucklers,1.63,Median BD100,9,oscilate,
2021,Sucklers,1.64,Median BD100,10,oscilate,
2022,Sucklers,0.91,Median BD100,11,oscilate,
2018,Sucklers,1.84,Median BD100,7,oscilate,
2019,Sucklers,1.68,Median BD100,8,oscilate,
2020,Sucklers,1.63,Median BD100,9,oscilate,
2021,Sucklers,1.64,Median BD100,10,oscilate,
2022,Sucklers,0.91,Median BD100,11,oscilate,
2018,Weaners,14.31,Median BD100,7,oscilate,
2019,Weaners,15.08,Median BD100,8,oscilate,
2020,Weaners,15.83,Median BD100,9,oscilate,
2021,Weaners,12.79,Median BD100,10,oscilate,
2022,Weaners,9.89,Median BD100,11,oscilate,
2018,Weaners,14.31,Median BD100,7,oscilate,
2019,Weaners,15.08,Median BD100,8,oscilate,
2020,Weaners,15.83,Median BD100,9,oscilate,
2021,Weaners,12.79,Median BD100,10,oscilate,
2022,Weaners,9.89,Median BD100,11,oscilate,
2018,Weaners,14.31,Median BD100,7,oscilate,
2019,Weaners,15.08,Median BD100,8,oscilate,
2020,Weaners,15.83,Median BD100,9,oscilate,
2021,Weaners,12.79,Median BD100,10,oscilate,
2022,Weaners,9.89,Median BD100,11,oscilate,
2018,Weaners,14.31,Median BD100,7,oscilate,
2019,Weaners,15.08,Median BD100,8,oscilate,
2020,Weaners,15.83,Median BD100,9,oscilate,
2021,Weaners,12.79,Median BD100,10,oscilate,
2022,Weaners,9.89,Median BD100,11,oscilate,
2018,Weaners,14.31,Median BD100,7,oscilate,
2019,Weaners,15.08,Median BD100,8,oscilate,
2020,Weaners,15.83,Median BD100,9,oscilate,
2021,Weaners,12.79,Median BD100,10,oscilate,
2022,Weaners,9.89,Median BD100,11,oscilate,
2018,Fatteners,3.25,Median BD100,7,downward_arrow,**
2019,Fatteners,3.2,Median BD100,8,downward_arrow,**
2020,Fatteners,2.89,Median BD100,9,downward_arrow,**
2021,Fatteners,2.48,Median BD100,10,downward_arrow,**
2022,Fatteners,1.89,Median BD100,11,downward_arrow,**
2018,Fatteners,3.25,Median BD100,7,downward_arrow,**
2019,Fatteners,3.2,Median BD100,8,downward_arrow,**
2020,Fatteners,2.89,Median BD100,9,downward_arrow,**
2021,Fatteners,2.48,Median BD100,10,downward_arrow,**
2022,Fatteners,1.89,Median BD100,11,downward_arrow,**
2018,Fatteners,3.25,Median BD100,7,downward_arrow,**
2019,Fatteners,3.2,Median BD100,8,downward_arrow,**
2020,Fatteners,2.89,Median BD100,9,downward_arrow,**
2021,Fatteners,2.48,Median BD100,10,downward_arrow,**
2022,Fatteners,1.89,Median BD100,11,downward_arrow,**
2018,Fatteners,3.25,Median BD100,7,downward_arrow,**
2019,Fatteners,3.2,Median BD100,8,downward_arrow,**
2020,Fatteners,2.89,Median BD100,9,downward_arrow,**
2021,Fatteners,2.48,Median BD100,10,downward_arrow,**
2022,Fatteners,1.89,Median BD100,11,downward_arrow,**
2018,Fatteners,3.25,Median BD100,7,downward_arrow,**
2019,Fatteners,3.2,Median BD100,8,downward_arrow,**
2020,Fatteners,2.89,Median BD100,9,downward_arrow,**
2021,Fatteners,2.48,Median BD100,10,downward_arrow,**
2022,Fatteners,1.89,Median BD100,11,downward_arrow,**
2018,Breeding pigs,0.32,Median BD100,7,oscilate,
2019,Breeding pigs,0.4,Median BD100,8,oscilate,
2020,Breeding pigs,0.4,Median BD100,9,oscilate,
2021,Breeding pigs,0.33,Median BD100,10,oscilate,
2022,Breeding pigs,0.27,Median BD100,11,oscilate,
2018,Breeding pigs,0.32,Median BD100,7,oscilate,
2019,Breeding pigs,0.4,Median BD100,8,oscilate,
2020,Breeding pigs,0.4,Median BD100,9,oscilate,
2021,Breeding pigs,0.33,Median BD100,10,oscilate,
2022,Breeding pigs,0.27,Median BD100,11,oscilate,
2018,Breeding pigs,0.32,Median BD100,7,oscilate,
2019,Breeding pigs,0.4,Median BD100,8,oscilate,
2020,Breeding pigs,0.4,Median BD100,9,oscilate,
2021,Breeding pigs,0.33,Median BD100,10,oscilate,
2022,Breeding pigs,0.27,Median BD100,11,oscilate,
2018,Breeding pigs,0.32,Median BD100,7,oscilate,
2019,Breeding pigs,0.4,Median BD100,8,oscilate,
2020,Breeding pigs,0.4,Median BD100,9,oscilate,
2021,Breeding pigs,0.33,Median BD100,10,oscilate,
2022,Breeding pigs,0.27,Median BD100,11,oscilate,
2018,Breeding pigs,0.32,Median BD100,7,oscilate,
2019,Breeding pigs,0.4,Median BD100,8,oscilate,
2020,Breeding pigs,0.4,Median BD100,9,oscilate,
2021,Breeding pigs,0.33,Median BD100,10,oscilate,
2022,Breeding pigs,0.27,Median BD100,11,oscilate,
2018,Laying hens,0.55,Median BD100,7,oscilate,
2019,Laying hens,1.42,Median BD100,8,oscilate,
2020,Laying hens,1.67,Median BD100,9,oscilate,
2021,Laying hens,1.59,Median BD100,10,oscilate,
2022,Laying hens,1.2,Median BD100,11,oscilate,
2018,Laying hens,0.55,Median BD100,7,oscilate,
2019,Laying hens,1.42,Median BD100,8,oscilate,
2020,Laying hens,1.67,Median BD100,9,oscilate,
2021,Laying hens,1.59,Median BD100,10,oscilate,
2022,Laying hens,1.2,Median BD100,11,oscilate,
2018,Laying hens,0.55,Median BD100,7,oscilate,
2019,Laying hens,1.42,Median BD100,8,oscilate,
2020,Laying hens,1.67,Median BD100,9,oscilate,
2021,Laying hens,1.59,Median BD100,10,oscilate,
2022,Laying hens,1.2,Median BD100,11,oscilate,
2018,Laying hens,0.55,Median BD100,7,oscilate,
2019,Laying hens,1.42,Median BD100,8,oscilate,
2020,Laying hens,1.67,Median BD100,9,oscilate,
2021,Laying hens,1.59,Median BD100,10,oscilate,
2022,Laying hens,1.2,Median BD100,11,oscilate,
2018,Laying hens,0.55,Median BD100,7,oscilate,
2019,Laying hens,1.42,Median BD100,8,oscilate,
2020,Laying hens,1.67,Median BD100,9,oscilate,
2021,Laying hens,1.59,Median BD100,10,oscilate,
2022,Laying hens,1.2,Median BD100,11,oscilate,
2018,Broilers,6.1,Median BD100,7,downward_arrow,*
2019,Broilers,5.89,Median BD100,8,downward_arrow,*
2020,Broilers,5.4,Median BD100,9,downward_arrow,*
2021,Broilers,3.52,Median BD100,10,downward_arrow,*
2022,Broilers,3.88,Median BD100,11,downward_arrow,*
2018,Broilers,6.1,Median BD100,7,downward_arrow,*
2019,Broilers,5.89,Median BD100,8,downward_arrow,*
2020,Broilers,5.4,Median BD100,9,downward_arrow,*
2021,Broilers,3.52,Median BD100,10,downward_arrow,*
2022,Broilers,3.88,Median BD100,11,downward_arrow,*
2018,Broilers,6.1,Median BD100,7,downward_arrow,*
2019,Broilers,5.89,Median BD100,8,downward_arrow,*
2020,Broilers,5.4,Median BD100,9,downward_arrow,*
2021,Broilers,3.52,Median BD100,10,downward_arrow,*
2022,Broilers,3.88,Median BD100,11,downward_arrow,*
2018,Broilers,6.1,Median BD100,7,downward_arrow,*
2019,Broilers,5.89,Median BD100,8,downward_arrow,*
2020,Broilers,5.4,Median BD100,9,downward_arrow,*
2021,Broilers,3.52,Median BD100,10,downward_arrow,*
2022,Broilers,3.88,Median BD100,11,downward_arrow,*
2018,Broilers,6.1,Median BD100,7,downward_arrow,*
2019,Broilers,5.89,Median BD100,8,downward_arrow,*
2020,Broilers,5.4,Median BD100,9,downward_arrow,*
2021,Broilers,3.52,Median BD100,10,downward_arrow,*
2022,Broilers,3.88,Median BD100,11,downward_arrow,*
2018,Veal calves,27,Median BD100,7,downward_arrow,**
2019,Veal calves,21.39,Median BD100,8,downward_arrow,**
2020,Veal calves,20.16,Median BD100,9,downward_arrow,**
2021,Veal calves,16.32,Median BD100,10,downward_arrow,**
2022,Veal calves,15.49,Median BD100,11,downward_arrow,**
