Year,Measurement,Value,Unit,Year_simple,Target,icon,signif
,,,,,,,
2011,Total sales (mg/kg biomass),146.5,mg/kg biomass,0,51.28,downward_arrow,***
2012,Total sales (mg/kg biomass),136.5,mg/kg biomass,1,51.28,downward_arrow,***
2013,Total sales (mg/kg biomass),127.9,mg/kg biomass,2,51.28,downward_arrow,***
2014,Total sales (mg/kg biomass),129.4,mg/kg biomass,3,51.28,downward_arrow,***
2015,Total sales (mg/kg biomass),123.2,mg/kg biomass,4,51.28,downward_arrow,***
2016,Total sales (mg/kg biomass),117.3,mg/kg biomass,5,51.28,downward_arrow,***
2017,Total sales (mg/kg biomass),108.5,mg/kg biomass,6,51.28,downward_arrow,***
2018,Total sales (mg/kg biomass),94.8,mg/kg biomass,7,51.28,downward_arrow,***
2019,Total sales (mg/kg biomass),87.3,mg/kg biomass,8,51.28,downward_arrow,***
2020,Total sales (mg/kg biomass),87.8,mg/kg biomass,9,51.28,downward_arrow,***
2021,Total sales (mg/kg biomass),81.2,mg/kg biomass,10,51.28,downward_arrow,***
2022,Total sales (mg/kg biomass),61.4,mg/kg biomass,11,51.28,downward_arrow,***
2011,Total sales (mg/kg biomass),146.5,mg/kg biomass,0,51.28,downward_arrow,***
2012,Total sales (mg/kg biomass),136.5,mg/kg biomass,1,51.28,downward_arrow,***
2013,Total sales (mg/kg biomass),127.9,mg/kg biomass,2,51.28,downward_arrow,***
2014,Total sales (mg/kg biomass),129.4,mg/kg biomass,3,51.28,downward_arrow,***
2015,Total sales (mg/kg biomass),123.2,mg/kg biomass,4,51.28,downward_arrow,***
2016,Total sales (mg/kg biomass),117.3,mg/kg biomass,5,51.28,downward_arrow,***
2017,Total sales (mg/kg biomass),108.5,mg/kg biomass,6,51.28,downward_arrow,***
2018,Total sales (mg/kg biomass),94.8,mg/kg biomass,7,51.28,downward_arrow,***
2019,Total sales (mg/kg biomass),87.3,mg/kg biomass,8,51.28,downward_arrow,***
2020,Total sales (mg/kg biomass),87.8,mg/kg biomass,9,51.28,downward_arrow,***
2021,Total sales (mg/kg biomass),81.2,mg/kg biomass,10,51.28,downward_arrow,***
2022,Total sales (mg/kg biomass),61.4,mg/kg biomass,11,51.28,downward_arrow,***
2011,Total sales (mg/kg biomass),146.5,mg/kg biomass,0,51.28,downward_arrow,***
2012,Total sales (mg/kg biomass),136.5,mg/kg biomass,1,51.28,downward_arrow,***
2013,Total sales (mg/kg biomass),127.9,mg/kg biomass,2,51.28,downward_arrow,***
2014,Total sales (mg/kg biomass),129.4,mg/kg biomass,3,51.28,downward_arrow,***
2015,Total sales (mg/kg biomass),123.2,mg/kg biomass,4,51.28,downward_arrow,***
2016,Total sales (mg/kg biomass),117.3,mg/kg biomass,5,51.28,downward_arrow,***
2017,Total sales (mg/kg biomass),108.5,mg/kg biomass,6,51.28,downward_arrow,***
2018,Total sales (mg/kg biomass),94.8,mg/kg biomass,7,51.28,downward_arrow,***
2019,Total sales (mg/kg biomass),87.3,mg/kg biomass,8,51.28,downward_arrow,***
2020,Total sales (mg/kg biomass),87.8,mg/kg biomass,9,51.28,downward_arrow,***
2021,Total sales (mg/kg biomass),81.2,mg/kg biomass,10,51.28,downward_arrow,***
2022,Total sales (mg/kg biomass),61.4,mg/kg biomass,11,51.28,downward_arrow,***
2011,Total sales (mg/kg biomass),146.5,mg/kg biomass,0,51.28,downward_arrow,***
2012,Total sales (mg/kg biomass),136.5,mg/kg biomass,1,51.28,downward_arrow,***
2013,Total sales (mg/kg biomass),127.9,mg/kg biomass,2,51.28,downward_arrow,***
2014,Total sales (mg/kg biomass),129.4,mg/kg biomass,3,51.28,downward_arrow,***
2015,Total sales (mg/kg biomass),123.2,mg/kg biomass,4,51.28,downward_arrow,***
2016,Total sales (mg/kg biomass),117.3,mg/kg biomass,5,51.28,downward_arrow,***
2017,Total sales (mg/kg biomass),108.5,mg/kg biomass,6,51.28,downward_arrow,***
2018,Total sales (mg/kg biomass),94.8,mg/kg biomass,7,51.28,downward_arrow,***
2019,Total sales (mg/kg biomass),87.3,mg/kg biomass,8,51.28,downward_arrow,***
2020,Total sales (mg/kg biomass),87.8,mg/kg biomass,9,51.28,downward_arrow,***
2021,Total sales (mg/kg biomass),81.2,mg/kg biomass,10,51.28,downward_arrow,***
2022,Total sales (mg/kg biomass),61.4,mg/kg biomass,11,51.28,downward_arrow,***
2011,Total sales (mg/kg biomass),146.5,mg/kg biomass,0,51.28,downward_arrow,***
2012,Total sales (mg/kg biomass),136.5,mg/kg biomass,1,51.28,downward_arrow,***
2013,Total sales (mg/kg biomass),127.9,mg/kg biomass,2,51.28,downward_arrow,***
2014,Total sales (mg/kg biomass),129.4,mg/kg biomass,3,51.28,downward_arrow,***
2015,Total sales (mg/kg biomass),123.2,mg/kg biomass,4,51.28,downward_arrow,***
2016,Total sales (mg/kg biomass),117.3,mg/kg biomass,5,51.28,downward_arrow,***
2017,Total sales (mg/kg biomass),108.5,mg/kg biomass,6,51.28,downward_arrow,***
2018,Total sales (mg/kg biomass),94.8,mg/kg biomass,7,51.28,downward_arrow,***
2019,Total sales (mg/kg biomass),87.3,mg/kg biomass,8,51.28,downward_arrow,***
2020,Total sales (mg/kg biomass),87.8,mg/kg biomass,9,51.28,downward_arrow,***
2021,Total sales (mg/kg biomass),81.2,mg/kg biomass,10,51.28,downward_arrow,***
2022,Total sales (mg/kg biomass),61.4,mg/kg biomass,11,51.28,downward_arrow,***
2011,Total sales (mg/kg biomass),146.5,mg/kg biomass,0,51.28,downward_arrow,***
2012,Total sales (mg/kg biomass),136.5,mg/kg biomass,1,51.28,downward_arrow,***
2013,Total sales (mg/kg biomass),127.9,mg/kg biomass,2,51.28,downward_arrow,***
2014,Total sales (mg/kg biomass),129.4,mg/kg biomass,3,51.28,downward_arrow,***
2015,Total sales (mg/kg biomass),123.2,mg/kg biomass,4,51.28,downward_arrow,***
2016,Total sales (mg/kg biomass),117.3,mg/kg biomass,5,51.28,downward_arrow,***
2017,Total sales (mg/kg biomass),108.5,mg/kg biomass,6,51.28,downward_arrow,***
2018,Total sales (mg/kg biomass),94.8,mg/kg biomass,7,51.28,downward_arrow,***
2019,Total sales (mg/kg biomass),87.3,mg/kg biomass,8,51.28,downward_arrow,***
2020,Total sales (mg/kg biomass),87.8,mg/kg biomass,9,51.28,downward_arrow,***
2021,Total sales (mg/kg biomass),81.2,mg/kg biomass,10,51.28,downward_arrow,***
2022,Total sales (mg/kg biomass),61.4,mg/kg biomass,11,51.28,downward_arrow,***
2011,Total sales (mg/kg biomass),146.5,mg/kg biomass,0,51.28,downward_arrow,***
2012,Total sales (mg/kg biomass),136.5,mg/kg biomass,1,51.28,downward_arrow,***
2013,Total sales (mg/kg biomass),127.9,mg/kg biomass,2,51.28,downward_arrow,***
2014,Total sales (mg/kg biomass),129.4,mg/kg biomass,3,51.28,downward_arrow,***
2015,Total sales (mg/kg biomass),123.2,mg/kg biomass,4,51.28,downward_arrow,***
2016,Total sales (mg/kg biomass),117.3,mg/kg biomass,5,51.28,downward_arrow,***
2017,Total sales (mg/kg biomass),108.5,mg/kg biomass,6,51.28,downward_arrow,***
2018,Total sales (mg/kg biomass),94.8,mg/kg biomass,7,51.28,downward_arrow,***
2019,Total sales (mg/kg biomass),87.3,mg/kg biomass,8,51.28,downward_arrow,***
2020,Total sales (mg/kg biomass),87.8,mg/kg biomass,9,51.28,downward_arrow,***
2021,Total sales (mg/kg biomass),81.2,mg/kg biomass,10,51.28,downward_arrow,***
2022,Total sales (mg/kg biomass),61.4,mg/kg biomass,11,51.28,downward_arrow,***
2011,Total sales (mg/kg biomass),146.5,mg/kg biomass,0,51.28,downward_arrow,***
2012,Total sales (mg/kg biomass),136.5,mg/kg biomass,1,51.28,downward_arrow,***
2013,Total sales (mg/kg biomass),127.9,mg/kg biomass,2,51.28,downward_arrow,***
2014,Total sales (mg/kg biomass),129.4,mg/kg biomass,3,51.28,downward_arrow,***
2015,Total sales (mg/kg biomass),123.2,mg/kg biomass,4,51.28,downward_arrow,***
2016,Total sales (mg/kg biomass),117.3,mg/kg biomass,5,51.28,downward_arrow,***
2017,Total sales (mg/kg biomass),108.5,mg/kg biomass,6,51.28,downward_arrow,***
2018,Total sales (mg/kg biomass),94.8,mg/kg biomass,7,51.28,downward_arrow,***
2019,Total sales (mg/kg biomass),87.3,mg/kg biomass,8,51.28,downward_arrow,***
2020,Total sales (mg/kg biomass),87.8,mg/kg biomass,9,51.28,downward_arrow,***
2021,Total sales (mg/kg biomass),81.2,mg/kg biomass,10,51.28,downward_arrow,***
2022,Total sales (mg/kg biomass),61.4,mg/kg biomass,11,51.28,downward_arrow,***
2011,Total sales (mg/kg biomass),146.5,mg/kg biomass,0,51.28,downward_arrow,***
2012,Total sales (mg/kg biomass),136.5,mg/kg biomass,1,51.28,downward_arrow,***
2013,Total sales (mg/kg biomass),127.9,mg/kg biomass,2,51.28,downward_arrow,***
2014,Total sales (mg/kg biomass),129.4,mg/kg biomass,3,51.28,downward_arrow,***
2015,Total sales (mg/kg biomass),123.2,mg/kg biomass,4,51.28,downward_arrow,***
2016,Total sales (mg/kg biomass),117.3,mg/kg biomass,5,51.28,downward_arrow,***
2017,Total sales (mg/kg biomass),108.5,mg/kg biomass,6,51.28,downward_arrow,***
2018,Total sales (mg/kg biomass),94.8,mg/kg biomass,7,51.28,downward_arrow,***
2019,Total sales (mg/kg biomass),87.3,mg/kg biomass,8,51.28,downward_arrow,***
2020,Total sales (mg/kg biomass),87.8,mg/kg biomass,9,51.28,downward_arrow,***
2021,Total sales (mg/kg biomass),81.2,mg/kg biomass,10,51.28,downward_arrow,***
2022,Total sales (mg/kg biomass),61.4,mg/kg biomass,11,51.28,downward_arrow,***
2011,Total sales (mg/kg biomass),146.5,mg/kg biomass,0,51.28,downward_arrow,***
2012,Total sales (mg/kg biomass),136.5,mg/kg biomass,1,51.28,downward_arrow,***
2013,Total sales (mg/kg biomass),127.9,mg/kg biomass,2,51.28,downward_arrow,***
2014,Total sales (mg/kg biomass),129.4,mg/kg biomass,3,51.28,downward_arrow,***
2015,Total sales (mg/kg biomass),123.2,mg/kg biomass,4,51.28,downward_arrow,***
2016,Total sales (mg/kg biomass),117.3,mg/kg biomass,5,51.28,downward_arrow,***
2017,Total sales (mg/kg biomass),108.5,mg/kg biomass,6,51.28,downward_arrow,***
2018,Total sales (mg/kg biomass),94.8,mg/kg biomass,7,51.28,downward_arrow,***
2019,Total sales (mg/kg biomass),87.3,mg/kg biomass,8,51.28,downward_arrow,***
2020,Total sales (mg/kg biomass),87.8,mg/kg biomass,9,51.28,downward_arrow,***
2021,Total sales (mg/kg biomass),81.2,mg/kg biomass,10,51.28,downward_arrow,***
2022,Total sales (mg/kg biomass),61.4,mg/kg biomass,11,51.28,downward_arrow,***
2011,Total sales (mg/kg biomass),146.5,mg/kg biomass,0,51.28,downward_arrow,***
2012,Total sales (mg/kg biomass),136.5,mg/kg biomass,1,51.28,downward_arrow,***
2013,Total sales (mg/kg biomass),127.9,mg/kg biomass,2,51.28,downward_arrow,***
2014,Total sales (mg/kg biomass),129.4,mg/kg biomass,3,51.28,downward_arrow,***
2015,Total sales (mg/kg biomass),123.2,mg/kg biomass,4,51.28,downward_arrow,***
2016,Total sales (mg/kg biomass),117.3,mg/kg biomass,5,51.28,downward_arrow,***
2017,Total sales (mg/kg biomass),108.5,mg/kg biomass,6,51.28,downward_arrow,***
2018,Total sales (mg/kg biomass),94.8,mg/kg biomass,7,51.28,downward_arrow,***
2019,Total sales (mg/kg biomass),87.3,mg/kg biomass,8,51.28,downward_arrow,***
2020,Total sales (mg/kg biomass),87.8,mg/kg biomass,9,51.28,downward_arrow,***
2021,Total sales (mg/kg biomass),81.2,mg/kg biomass,10,51.28,downward_arrow,***
2022,Total sales (mg/kg biomass),61.4,mg/kg biomass,11,51.28,downward_arrow,***
2011,Total sales (mg/kg biomass),146.5,mg/kg biomass,0,51.28,downward_arrow,***
2012,Total sales (mg/kg biomass),136.5,mg/kg biomass,1,51.28,downward_arrow,***
2013,Total sales (mg/kg biomass),127.9,mg/kg biomass,2,51.28,downward_arrow,***
2014,Total sales (mg/kg biomass),129.4,mg/kg biomass,3,51.28,downward_arrow,***
2015,Total sales (mg/kg biomass),123.2,mg/kg biomass,4,51.28,downward_arrow,***
2016,Total sales (mg/kg biomass),117.3,mg/kg biomass,5,51.28,downward_arrow,***
2017,Total sales (mg/kg biomass),108.5,mg/kg biomass,6,51.28,downward_arrow,***
2018,Total sales (mg/kg biomass),94.8,mg/kg biomass,7,51.28,downward_arrow,***
2019,Total sales (mg/kg biomass),87.3,mg/kg biomass,8,51.28,downward_arrow,***
2020,Total sales (mg/kg biomass),87.8,mg/kg biomass,9,51.28,downward_arrow,***
2021,Total sales (mg/kg biomass),81.2,mg/kg biomass,10,51.28,downward_arrow,***
2022,Total sales (mg/kg biomass),61.4,mg/kg biomass,11,51.28,downward_arrow,***
2011,Total sales (mg/kg biomass),146.5,mg/kg biomass,0,51.28,downward_arrow,***
2012,Total sales (mg/kg biomass),136.5,mg/kg biomass,1,51.28,downward_arrow,***
2013,Total sales (mg/kg biomass),127.9,mg/kg biomass,2,51.28,downward_arrow,***
2014,Total sales (mg/kg biomass),129.4,mg/kg biomass,3,51.28,downward_arrow,***
2015,Total sales (mg/kg biomass),123.2,mg/kg biomass,4,51.28,downward_arrow,***
2016,Total sales (mg/kg biomass),117.3,mg/kg biomass,5,51.28,downward_arrow,***
2017,Total sales (mg/kg biomass),108.5,mg/kg biomass,6,51.28,downward_arrow,***
2018,Total sales (mg/kg biomass),94.8,mg/kg biomass,7,51.28,downward_arrow,***
2019,Total sales (mg/kg biomass),87.3,mg/kg biomass,8,51.28,downward_arrow,***
2020,Total sales (mg/kg biomass),87.8,mg/kg biomass,9,51.28,downward_arrow,***
2021,Total sales (mg/kg biomass),81.2,mg/kg biomass,10,51.28,downward_arrow,***
2022,Total sales (mg/kg biomass),61.4,mg/kg biomass,11,51.28,downward_arrow,***
2011,Total sales (mg/kg biomass),146.5,mg/kg biomass,0,51.28,downward_arrow,***
2012,Total sales (mg/kg biomass),136.5,mg/kg biomass,1,51.28,downward_arrow,***
2013,Total sales (mg/kg biomass),127.9,mg/kg biomass,2,51.28,downward_arrow,***
2014,Total sales (mg/kg biomass),129.4,mg/kg biomass,3,51.28,downward_arrow,***
2015,Total sales (mg/kg biomass),123.2,mg/kg biomass,4,51.28,downward_arrow,***
2016,Total sales (mg/kg biomass),117.3,mg/kg biomass,5,51.28,downward_arrow,***
2017,Total sales (mg/kg biomass),108.5,mg/kg biomass,6,51.28,downward_arrow,***
2018,Total sales (mg/kg biomass),94.8,mg/kg biomass,7,51.28,downward_arrow,***
2019,Total sales (mg/kg biomass),87.3,mg/kg biomass,8,51.28,downward_arrow,***
2020,Total sales (mg/kg biomass),87.8,mg/kg biomass,9,51.28,downward_arrow,***
2021,Total sales (mg/kg biomass),81.2,mg/kg biomass,10,51.28,downward_arrow,***
2022,Total sales (mg/kg biomass),61.4,mg/kg biomass,11,51.28,downward_arrow,***
2011,Total sales (mg/kg biomass),146.5,mg/kg biomass,0,51.28,downward_arrow,***
2012,Total sales (mg/kg biomass),136.5,mg/kg biomass,1,51.28,downward_arrow,***
2013,Total sales (mg/kg biomass),127.9,mg/kg biomass,2,51.28,downward_arrow,***
2014,Total sales (mg/kg biomass),129.4,mg/kg biomass,3,51.28,downward_arrow,***
2015,Total sales (mg/kg biomass),123.2,mg/kg biomass,4,51.28,downward_arrow,***
2016,Total sales (mg/kg biomass),117.3,mg/kg biomass,5,51.28,downward_arrow,***
2017,Total sales (mg/kg biomass),108.5,mg/kg biomass,6,51.28,downward_arrow,***
2018,Total sales (mg/kg biomass),94.8,mg/kg biomass,7,51.28,downward_arrow,***
2019,Total sales (mg/kg biomass),87.3,mg/kg biomass,8,51.28,downward_arrow,***
2020,Total sales (mg/kg biomass),87.8,mg/kg biomass,9,51.28,downward_arrow,***
2021,Total sales (mg/kg biomass),81.2,mg/kg biomass,10,51.28,downward_arrow,***
2022,Total sales (mg/kg biomass),61.4,mg/kg biomass,11,51.28,downward_arrow,***
2011,Total sales (mg/kg biomass),146.5,mg/kg biomass,0,51.28,downward_arrow,***
2012,Total sales (mg/kg biomass),136.5,mg/kg biomass,1,51.28,downward_arrow,***
2013,Total sales (mg/kg biomass),127.9,mg/kg biomass,2,51.28,downward_arrow,***
2014,Total sales (mg/kg biomass),129.4,mg/kg biomass,3,51.28,downward_arrow,***
2015,Total sales (mg/kg biomass),123.2,mg/kg biomass,4,51.28,downward_arrow,***
2016,Total sales (mg/kg biomass),117.3,mg/kg biomass,5,51.28,downward_arrow,***
2017,Total sales (mg/kg biomass),108.5,mg/kg biomass,6,51.28,downward_arrow,***
2018,Total sales (mg/kg biomass),94.8,mg/kg biomass,7,51.28,downward_arrow,***
2019,Total sales (mg/kg biomass),87.3,mg/kg biomass,8,51.28,downward_arrow,***
2020,Total sales (mg/kg biomass),87.8,mg/kg biomass,9,51.28,downward_arrow,***
2021,Total sales (mg/kg biomass),81.2,mg/kg biomass,10,51.28,downward_arrow,***
2022,Total sales (mg/kg biomass),61.4,mg/kg biomass,11,51.28,downward_arrow,***
2011,Total sales (mg/kg biomass),146.5,mg/kg biomass,0,51.28,downward_arrow,***
2012,Total sales (mg/kg biomass),136.5,mg/kg biomass,1,51.28,downward_arrow,***
2013,Total sales (mg/kg biomass),127.9,mg/kg biomass,2,51.28,downward_arrow,***
2014,Total sales (mg/kg biomass),129.4,mg/kg biomass,3,51.28,downward_arrow,***
2015,Total sales (mg/kg biomass),123.2,mg/kg biomass,4,51.28,downward_arrow,***
2016,Total sales (mg/kg biomass),117.3,mg/kg biomass,5,51.28,downward_arrow,***
2017,Total sales (mg/kg biomass),108.5,mg/kg biomass,6,51.28,downward_arrow,***
2018,Total sales (mg/kg biomass),94.8,mg/kg biomass,7,51.28,downward_arrow,***
2019,Total sales (mg/kg biomass),87.3,mg/kg biomass,8,51.28,downward_arrow,***
2020,Total sales (mg/kg biomass),87.8,mg/kg biomass,9,51.28,downward_arrow,***
2021,Total sales (mg/kg biomass),81.2,mg/kg biomass,10,51.28,downward_arrow,***
2022,Total sales (mg/kg biomass),61.4,mg/kg biomass,11,51.28,downward_arrow,***
2011,Total sales (mg/kg biomass),146.5,mg/kg biomass,0,51.28,downward_arrow,***
2012,Total sales (mg/kg biomass),136.5,mg/kg biomass,1,51.28,downward_arrow,***
2013,Total sales (mg/kg biomass),127.9,mg/kg biomass,2,51.28,downward_arrow,***
2014,Total sales (mg/kg biomass),129.4,mg/kg biomass,3,51.28,downward_arrow,***
2015,Total sales (mg/kg biomass),123.2,mg/kg biomass,4,51.28,downward_arrow,***
2016,Total sales (mg/kg biomass),117.3,mg/kg biomass,5,51.28,downward_arrow,***
2017,Total sales (mg/kg biomass),108.5,mg/kg biomass,6,51.28,downward_arrow,***
2018,Total sales (mg/kg biomass),94.8,mg/kg biomass,7,51.28,downward_arrow,***
2019,Total sales (mg/kg biomass),87.3,mg/kg biomass,8,51.28,downward_arrow,***
2020,Total sales (mg/kg biomass),87.8,mg/kg biomass,9,51.28,downward_arrow,***
2021,Total sales (mg/kg biomass),81.2,mg/kg biomass,10,51.28,downward_arrow,***
2022,Total sales (mg/kg biomass),61.4,mg/kg biomass,11,51.28,downward_arrow,***
2011,Total sales (mg/kg biomass),146.5,mg/kg biomass,0,51.28,downward_arrow,***
2012,Total sales (mg/kg biomass),136.5,mg/kg biomass,1,51.28,downward_arrow,***
2013,Total sales (mg/kg biomass),127.9,mg/kg biomass,2,51.28,downward_arrow,***
2014,Total sales (mg/kg biomass),129.4,mg/kg biomass,3,51.28,downward_arrow,***
2015,Total sales (mg/kg biomass),123.2,mg/kg biomass,4,51.28,downward_arrow,***
2016,Total sales (mg/kg biomass),117.3,mg/kg biomass,5,51.28,downward_arrow,***
2017,Total sales (mg/kg biomass),108.5,mg/kg biomass,6,51.28,downward_arrow,***
2018,Total sales (mg/kg biomass),94.8,mg/kg biomass,7,51.28,downward_arrow,***
2019,Total sales (mg/kg biomass),87.3,mg/kg biomass,8,51.28,downward_arrow,***
2020,Total sales (mg/kg biomass),87.8,mg/kg biomass,9,51.28,downward_arrow,***
2021,Total sales (mg/kg biomass),81.2,mg/kg biomass,10,51.28,downward_arrow,***
2022,Total sales (mg/kg biomass),61.4,mg/kg biomass,11,51.28,downward_arrow,***
2011,Total sales (mg/kg biomass),146.5,mg/kg biomass,0,51.28,downward_arrow,***
2012,Total sales (mg/kg biomass),136.5,mg/kg biomass,1,51.28,downward_arrow,***
2013,Total sales (mg/kg biomass),127.9,mg/kg biomass,2,51.28,downward_arrow,***
2014,Total sales (mg/kg biomass),129.4,mg/kg biomass,3,51.28,downward_arrow,***
2015,Total sales (mg/kg biomass),123.2,mg/kg biomass,4,51.28,downward_arrow,***
2016,Total sales (mg/kg biomass),117.3,mg/kg biomass,5,51.28,downward_arrow,***
2017,Total sales (mg/kg biomass),108.5,mg/kg biomass,6,51.28,downward_arrow,***
2018,Total sales (mg/kg biomass),94.8,mg/kg biomass,7,51.28,downward_arrow,***
2019,Total sales (mg/kg biomass),87.3,mg/kg biomass,8,51.28,downward_arrow,***
2020,Total sales (mg/kg biomass),87.8,mg/kg biomass,9,51.28,downward_arrow,***
2021,Total sales (mg/kg biomass),81.2,mg/kg biomass,10,51.28,downward_arrow,***
2022,Total sales (mg/kg biomass),61.4,mg/kg biomass,11,51.28,downward_arrow,***
2011,Total sales (mg/kg biomass),146.5,mg/kg biomass,0,51.28,downward_arrow,***
2012,Total sales (mg/kg biomass),136.5,mg/kg biomass,1,51.28,downward_arrow,***
2013,Total sales (mg/kg biomass),127.9,mg/kg biomass,2,51.28,downward_arrow,***
2014,Total sales (mg/kg biomass),129.4,mg/kg biomass,3,51.28,downward_arrow,***
2015,Total sales (mg/kg biomass),123.2,mg/kg biomass,4,51.28,downward_arrow,***
2016,Total sales (mg/kg biomass),117.3,mg/kg biomass,5,51.28,downward_arrow,***
2017,Total sales (mg/kg biomass),108.5,mg/kg biomass,6,51.28,downward_arrow,***
2018,Total sales (mg/kg biomass),94.8,mg/kg biomass,7,51.28,downward_arrow,***
2019,Total sales (mg/kg biomass),87.3,mg/kg biomass,8,51.28,downward_arrow,***
2020,Total sales (mg/kg biomass),87.8,mg/kg biomass,9,51.28,downward_arrow,***
2021,Total sales (mg/kg biomass),81.2,mg/kg biomass,10,51.28,downward_arrow,***
2022,Total sales (mg/kg biomass),61.4,mg/kg biomass,11,51.28,downward_arrow,***
2011,Total sales (mg/kg biomass),146.5,mg/kg biomass,0,51.28,downward_arrow,***
2012,Total sales (mg/kg biomass),136.5,mg/kg biomass,1,51.28,downward_arrow,***
2013,Total sales (mg/kg biomass),127.9,mg/kg biomass,2,51.28,downward_arrow,***
2014,Total sales (mg/kg biomass),129.4,mg/kg biomass,3,51.28,downward_arrow,***
2015,Total sales (mg/kg biomass),123.2,mg/kg biomass,4,51.28,downward_arrow,***
2016,Total sales (mg/kg biomass),117.3,mg/kg biomass,5,51.28,downward_arrow,***
2017,Total sales (mg/kg biomass),108.5,mg/kg biomass,6,51.28,downward_arrow,***
2018,Total sales (mg/kg biomass),94.8,mg/kg biomass,7,51.28,downward_arrow,***
2019,Total sales (mg/kg biomass),87.3,mg/kg biomass,8,51.28,downward_arrow,***
2020,Total sales (mg/kg biomass),87.8,mg/kg biomass,9,51.28,downward_arrow,***
2021,Total sales (mg/kg biomass),81.2,mg/kg biomass,10,51.28,downward_arrow,***
2022,Total sales (mg/kg biomass),61.4,mg/kg biomass,11,51.28,downward_arrow,***
2011,Total sales (mg/kg biomass),146.5,mg/kg biomass,0,51.28,downward_arrow,***
2012,Total sales (mg/kg biomass),136.5,mg/kg biomass,1,51.28,downward_arrow,***
2013,Total sales (mg/kg biomass),127.9,mg/kg biomass,2,51.28,downward_arrow,***
2014,Total sales (mg/kg biomass),129.4,mg/kg biomass,3,51.28,downward_arrow,***
2015,Total sales (mg/kg biomass),123.2,mg/kg biomass,4,51.28,downward_arrow,***
2016,Total sales (mg/kg biomass),117.3,mg/kg biomass,5,51.28,downward_arrow,***
2017,Total sales (mg/kg biomass),108.5,mg/kg biomass,6,51.28,downward_arrow,***
2018,Total sales (mg/kg biomass),94.8,mg/kg biomass,7,51.28,downward_arrow,***
2019,Total sales (mg/kg biomass),87.3,mg/kg biomass,8,51.28,downward_arrow,***
2020,Total sales (mg/kg biomass),87.8,mg/kg biomass,9,51.28,downward_arrow,***
2021,Total sales (mg/kg biomass),81.2,mg/kg biomass,10,51.28,downward_arrow,***
2022,Total sales (mg/kg biomass),61.4,mg/kg biomass,11,51.28,downward_arrow,***
2011,Sales fluoroquinolones+ 3rd- and 4th-generation cephalosporins (mg/kg biomass),2.01,mg/kg biomass,0,0.5025,downward_arrow,***
2012,Sales fluoroquinolones+ 3rd- and 4th-generation cephalosporins (mg/kg biomass),2.07,mg/kg biomass,1,0.5025,downward_arrow,***
2013,Sales fluoroquinolones+ 3rd- and 4th-generation cephalosporins (mg/kg biomass),1.64,mg/kg biomass,2,0.5025,downward_arrow,***
2014,Sales fluoroquinolones+ 3rd- and 4th-generation cephalosporins (mg/kg biomass),1.69,mg/kg biomass,3,0.5025,downward_arrow,***
2015,Sales fluoroquinolones+ 3rd- and 4th-generation cephalosporins (mg/kg biomass),1.92,mg/kg biomass,4,0.5025,downward_arrow,***
2016,Sales fluoroquinolones+ 3rd- and 4th-generation cephalosporins (mg/kg biomass),0.82,mg/kg biomass,5,0.5025,downward_arrow,***
2017,Sales fluoroquinolones+ 3rd- and 4th-generation cephalosporins (mg/kg biomass),0.29,mg/kg biomass,6,0.5025,downward_arrow,***
2018,Sales fluoroquinolones+ 3rd- and 4th-generation cephalosporins (mg/kg biomass),0.44,mg/kg biomass,7,0.5025,downward_arrow,***
