Year,Measurement,Value,Unit,Year_simple,Target,icon,signif
2019,Sales fluoroquinolones+ 3rd- and 4th-generation cephalosporins (mg/kg biomass),0.48,mg/kg biomass,8,0.5025,downward_arrow,***
2020,Sales fluoroquinolones+ 3rd- and 4th-generation cephalosporins (mg/kg biomass),0.73,mg/kg biomass,9,0.5025,downward_arrow,***
2021,Sales fluoroquinolones+ 3rd- and 4th-generation cephalosporins (mg/kg biomass),0.42,mg/kg biomass,10,0.5025,downward_arrow,***
2022,Sales fluoroquinolones+ 3rd- and 4th-generation cephalosporins (mg/kg biomass),0.42,mg/kg biomass,11,0.5025,downward_arrow,***
2011,Sales fluoroquinolones+ 3rd- and 4th-generation cephalosporins (mg/kg biomass),2.01,mg/kg biomass,0,0.5025,downward_arrow,***
2012,Sales fluoroquinolones+ 3rd- and 4th-generation cephalosporins (mg/kg biomass),2.07,mg/kg biomass,1,0.5025,downward_arrow,***
2013,Sales fluoroquinolones+ 3rd- and 4th-generation cephalosporins (mg/kg biomass),1.64,mg/kg biomass,2,0.5025,downward_arrow,***
2014,Sales fluoroquinolones+ 3rd- and 4th-generation cephalosporins (mg/kg biomass),1.69,mg/kg biomass,3,0.5025,downward_arrow,***
2015,Sales fluoroquinolones+ 3rd- and 4th-generation cephalosporins (mg/kg biomass),1.92,mg/kg biomass,4,0.5025,downward_arrow,***
2016,Sales fluoroquinolones+ 3rd- and 4th-generation cephalosporins (mg/kg biomass),0.82,mg/kg biomass,5,0.5025,downward_arrow,***
2017,Sales fluoroquinolones+ 3rd- and 4th-generation cephalosporins (mg/kg biomass),0.29,mg/kg biomass,6,0.5025,downward_arrow,***
2018,Sales fluoroquinolones+ 3rd- and 4th-generation cephalosporins (mg/kg biomass),0.44,mg/kg biomass,7,0.5025,downward_arrow,***
2019,Sales fluoroquinolones+ 3rd- and 4th-generation cephalosporins (mg/kg biomass),0.48,mg/kg biomass,8,0.5025,downward_arrow,***
2020,Sales fluoroquinolones+ 3rd- and 4th-generation cephalosporins (mg/kg biomass),0.73,mg/kg biomass,9,0.5025,downward_arrow,***
2021,Sales fluoroquinolones+ 3rd- and 4th-generation cephalosporins (mg/kg biomass),0.42,mg/kg biomass,10,0.5025,downward_arrow,***
2022,Sales fluoroquinolones+ 3rd- and 4th-generation cephalosporins (mg/kg biomass),0.42,mg/kg biomass,11,0.5025,downward_arrow,***
2011,Sales fluoroquinolones+ 3rd- and 4th-generation cephalosporins (mg/kg biomass),2.01,mg/kg biomass,0,0.5025,downward_arrow,***
2012,Sales fluoroquinolones+ 3rd- and 4th-generation cephalosporins (mg/kg biomass),2.07,mg/kg biomass,1,0.5025,downward_arrow,***
2013,Sales fluoroquinolones+ 3rd- and 4th-generation cephalosporins (mg/kg biomass),1.64,mg/kg biomass,2,0.5025,downward_arrow,***
2014,Sales fluoroquinolones+ 3rd- and 4th-generation cephalosporins (mg/kg biomass),1.69,mg/kg biomass,3,0.5025,downward_arrow,***
2015,Sales fluoroquinolones+ 3rd- and 4th-generation cephalosporins (mg/kg biomass),1.92,mg/kg biomass,4,0.5025,downward_arrow,***
2016,Sales fluoroquinolones+ 3rd- and 4th-generation cephalosporins (mg/kg biomass),0.82,mg/kg biomass,5,0.5025,downward_arrow,***
2017,Sales fluoroquinolones+ 3rd- and 4th-generation cephalosporins (mg/kg biomass),0.29,mg/kg biomass,6,0.5025,downward_arrow,***
2018,Sales fluoroquinolones+ 3rd- and 4th-generation cephalosporins (mg/kg biomass),0.44,mg/kg biomass,7,0.5025,downward_arrow,***
2019,Sales fluoroquinolones+ 3rd- and 4th-generation cephalosporins (mg/kg biomass),0.48,mg/kg biomass,8,0.5025,downward_arrow,***
2020,Sales fluoroquinolones+ 3rd- and 4th-generation cephalosporins (mg/kg biomass),0.73,mg/kg biomass,9,0.5025,downward_arrow,***
2021,Sales fluoroquinolones+ 3rd- and 4th-generation cephalosporins (mg/kg biomass),0.42,mg/kg biomass,10,0.5025,downward_arrow,***
2022,Sales fluoroquinolones+ 3rd- and 4th-generation cephalosporins (mg/kg biomass),0.42,mg/kg biomass,11,0.5025,downward_arrow,***
2011,Sales fluoroquinolones+ 3rd- and 4th-generation cephalosporins (mg/kg biomass),2.01,mg/kg biomass,0,0.5025,downward_arrow,***
2012,Sales fluoroquinolones+ 3rd- and 4th-generation cephalosporins (mg/kg biomass),2.07,mg/kg biomass,1,0.5025,downward_arrow,***
2013,Sales fluoroquinolones+ 3rd- and 4th-generation cephalosporins (mg/kg biomass),1.64,mg/kg biomass,2,0.5025,downward_arrow,***
2014,Sales fluoroquinolones+ 3rd- and 4th-generation cephalosporins (mg/kg biomass),1.69,mg/kg biomass,3,0.5025,downward_arrow,***
2015,Sales fluoroquinolones+ 3rd- and 4th-generation cephalosporins (mg/kg biomass),1.92,mg/kg biomass,4,0.5025,downward_arrow,***
2016,Sales fluoroquinolones+ 3rd- and 4th-generation cephalosporins (mg/kg biomass),0.82,mg/kg biomass,5,0.5025,downward_arrow,***
2017,Sales fluoroquinolones+ 3rd- and 4th-generation cephalosporins (mg/kg biomass),0.29,mg/kg biomass,6,0.5025,downward_arrow,***
2018,Sales fluoroquinolones+ 3rd- and 4th-generation cephalosporins (mg/kg biomass),0.44,mg/kg biomass,7,0.5025,downward_arrow,***
2019,Sales fluoroquinolones+ 3rd- and 4th-generation cephalosporins (mg/kg biomass),0.48,mg/kg biomass,8,0.5025,downward_arrow,***
2020,Sales fluoroquinolones+ 3rd- and 4th-generation cephalosporins (mg/kg biomass),0.73,mg/kg biomass,9,0.5025,downward_arrow,***
2021,Sales fluoroquinolones+ 3rd- and 4th-generation cephalosporins (mg/kg biomass),0.42,mg/kg biomass,10,0.5025,downward_arrow,***
2022,Sales fluoroquinolones+ 3rd- and 4th-generation cephalosporins (mg/kg biomass),0.42,mg/kg biomass,11,0.5025,downward_arrow,***
2011,Sales fluoroquinolones+ 3rd- and 4th-generation cephalosporins (mg/kg biomass),2.01,mg/kg biomass,0,0.5025,downward_arrow,***
2012,Sales fluoroquinolones+ 3rd- and 4th-generation cephalosporins (mg/kg biomass),2.07,mg/kg biomass,1,0.5025,downward_arrow,***
2013,Sales fluoroquinolones+ 3rd- and 4th-generation cephalosporins (mg/kg biomass),1.64,mg/kg biomass,2,0.5025,downward_arrow,***
2014,Sales fluoroquinolones+ 3rd- and 4th-generation cephalosporins (mg/kg biomass),1.69,mg/kg biomass,3,0.5025,downward_arrow,***
2015,Sales fluoroquinolones+ 3rd- and 4th-generation cephalosporins (mg/kg biomass),1.92,mg/kg biomass,4,0.5025,downward_arrow,***
2016,Sales fluoroquinolones+ 3rd- and 4th-generation cephalosporins (mg/kg biomass),0.82,mg/kg biomass,5,0.5025,downward_arrow,***
2017,Sales fluoroquinolones+ 3rd- and 4th-generation cephalosporins (mg/kg biomass),0.29,mg/kg biomass,6,0.5025,downward_arrow,***
2018,Sales fluoroquinolones+ 3rd- and 4th-generation cephalosporins (mg/kg biomass),0.44,mg/kg biomass,7,0.5025,downward_arrow,***
2019,Sales fluoroquinolones+ 3rd- and 4th-generation cephalosporins (mg/kg biomass),0.48,mg/kg biomass,8,0.5025,downward_arrow,***
2020,Sales fluoroquinolones+ 3rd- and 4th-generation cephalosporins (mg/kg biomass),0.73,mg/kg biomass,9,0.5025,downward_arrow,***
2021,Sales fluoroquinolones+ 3rd- and 4th-generation cephalosporins (mg/kg biomass),0.42,mg/kg biomass,10,0.5025,downward_arrow,***
2022,Sales fluoroquinolones+ 3rd- and 4th-generation cephalosporins (mg/kg biomass),0.42,mg/kg biomass,11,0.5025,downward_arrow,***
2011,Sales fluoroquinolones+ 3rd- and 4th-generation cephalosporins (mg/kg biomass),2.01,mg/kg biomass,0,0.5025,downward_arrow,***
2012,Sales fluoroquinolones+ 3rd- and 4th-generation cephalosporins (mg/kg biomass),2.07,mg/kg biomass,1,0.5025,downward_arrow,***
2013,Sales fluoroquinolones+ 3rd- and 4th-generation cephalosporins (mg/kg biomass),1.64,mg/kg biomass,2,0.5025,downward_arrow,***
2014,Sales fluoroquinolones+ 3rd- and 4th-generation cephalosporins (mg/kg biomass),1.69,mg/kg biomass,3,0.5025,downward_arrow,***
2015,Sales fluoroquinolones+ 3rd- and 4th-generation cephalosporins (mg/kg biomass),1.92,mg/kg biomass,4,0.5025,downward_arrow,***
2016,Sales fluoroquinolones+ 3rd- and 4th-generation cephalosporins (mg/kg biomass),0.82,mg/kg biomass,5,0.5025,downward_arrow,***
2017,Sales fluoroquinolones+ 3rd- and 4th-generation cephalosporins (mg/kg biomass),0.29,mg/kg biomass,6,0.5025,downward_arrow,***
2018,Sales fluoroquinolones+ 3rd- and 4th-generation cephalosporins (mg/kg biomass),0.44,mg/kg biomass,7,0.5025,downward_arrow,***
2019,Sales fluoroquinolones+ 3rd- and 4th-generation cephalosporins (mg/kg biomass),0.48,mg/kg biomass,8,0.5025,downward_arrow,***
2020,Sales fluoroquinolones+ 3rd- and 4th-generation cephalosporins (mg/kg biomass),0.73,mg/kg biomass,9,0.5025,downward_arrow,***
2021,Sales fluoroquinolones+ 3rd- and 4th-generation cephalosporins (mg/kg biomass),0.42,mg/kg biomass,10,0.5025,downward_arrow,***
2022,Sales fluoroquinolones+ 3rd- and 4th-generation cephalosporins (mg/kg biomass),0.42,mg/kg biomass,11,0.5025,downward_arrow,***
2011,Sales fluoroquinolones+ 3rd- and 4th-generation cephalosporins (mg/kg biomass),2.01,mg/kg biomass,0,0.5025,downward_arrow,***
2012,Sales fluoroquinolones+ 3rd- and 4th-generation cephalosporins (mg/kg biomass),2.07,mg/kg biomass,1,0.5025,downward_arrow,***
2013,Sales fluoroquinolones+ 3rd- and 4th-generation cephalosporins (mg/kg biomass),1.64,mg/kg biomass,2,0.5025,downward_arrow,***
2014,Sales fluoroquinolones+ 3rd- and 4th-generation cephalosporins (mg/kg biomass),1.69,mg/kg biomass,3,0.5025,downward_arrow,***
2015,Sales fluoroquinolones+ 3rd- and 4th-generation cephalosporins (mg/kg biomass),1.92,mg/kg biomass,4,0.5025,downward_arrow,***
2016,Sales fluoroquinolones+ 3rd- and 4th-generation cephalosporins (mg/kg biomass),0.82,mg/kg biomass,5,0.5025,downward_arrow,***
2017,Sales fluoroquinolones+ 3rd- and 4th-generation cephalosporins (mg/kg biomass),0.29,mg/kg biomass,6,0.5025,downward_arrow,***
2018,Sales fluoroquinolones+ 3rd- and 4th-generation cephalosporins (mg/kg biomass),0.44,mg/kg biomass,7,0.5025,downward_arrow,***
2019,Sales fluoroquinolones+ 3rd- and 4th-generation cephalosporins (mg/kg biomass),0.48,mg/kg biomass,8,0.5025,downward_arrow,***
2020,Sales fluoroquinolones+ 3rd- and 4th-generation cephalosporins (mg/kg biomass),0.73,mg/kg biomass,9,0.5025,downward_arrow,***
2021,Sales fluoroquinolones+ 3rd- and 4th-generation cephalosporins (mg/kg biomass),0.42,mg/kg biomass,10,0.5025,downward_arrow,***
2022,Sales fluoroquinolones+ 3rd- and 4th-generation cephalosporins (mg/kg biomass),0.42,mg/kg biomass,11,0.5025,downward_arrow,***
2011,Sales fluoroquinolones+ 3rd- and 4th-generation cephalosporins (mg/kg biomass),2.01,mg/kg biomass,0,0.5025,downward_arrow,***
2012,Sales fluoroquinolones+ 3rd- and 4th-generation cephalosporins (mg/kg biomass),2.07,mg/kg biomass,1,0.5025,downward_arrow,***
2013,Sales fluoroquinolones+ 3rd- and 4th-generation cephalosporins (mg/kg biomass),1.64,mg/kg biomass,2,0.5025,downward_arrow,***
2014,Sales fluoroquinolones+ 3rd- and 4th-generation cephalosporins (mg/kg biomass),1.69,mg/kg biomass,3,0.5025,downward_arrow,***
2015,Sales fluoroquinolones+ 3rd- and 4th-generation cephalosporins (mg/kg biomass),1.92,mg/kg biomass,4,0.5025,downward_arrow,***
2016,Sales fluoroquinolones+ 3rd- and 4th-generation cephalosporins (mg/kg biomass),0.82,mg/kg biomass,5,0.5025,downward_arrow,***
2017,Sales fluoroquinolones+ 3rd- and 4th-generation cephalosporins (mg/kg biomass),0.29,mg/kg biomass,6,0.5025,downward_arrow,***
2018,Sales fluoroquinolones+ 3rd- and 4th-generation cephalosporins (mg/kg biomass),0.44,mg/kg biomass,7,0.5025,downward_arrow,***
2019,Sales fluoroquinolones+ 3rd- and 4th-generation cephalosporins (mg/kg biomass),0.48,mg/kg biomass,8,0.5025,downward_arrow,***
2020,Sales fluoroquinolones+ 3rd- and 4th-generation cephalosporins (mg/kg biomass),0.73,mg/kg biomass,9,0.5025,downward_arrow,***
2021,Sales fluoroquinolones+ 3rd- and 4th-generation cephalosporins (mg/kg biomass),0.42,mg/kg biomass,10,0.5025,downward_arrow,***
2022,Sales fluoroquinolones+ 3rd- and 4th-generation cephalosporins (mg/kg biomass),0.42,mg/kg biomass,11,0.5025,downward_arrow,***
2011,Sales fluoroquinolones+ 3rd- and 4th-generation cephalosporins (mg/kg biomass),2.01,mg/kg biomass,0,0.5025,downward_arrow,***
2012,Sales fluoroquinolones+ 3rd- and 4th-generation cephalosporins (mg/kg biomass),2.07,mg/kg biomass,1,0.5025,downward_arrow,***
2013,Sales fluoroquinolones+ 3rd- and 4th-generation cephalosporins (mg/kg biomass),1.64,mg/kg biomass,2,0.5025,downward_arrow,***
2014,Sales fluoroquinolones+ 3rd- and 4th-generation cephalosporins (mg/kg biomass),1.69,mg/kg biomass,3,0.5025,downward_arrow,***
2015,Sales fluoroquinolones+ 3rd- and 4th-generation cephalosporins (mg/kg biomass),1.92,mg/kg biomass,4,0.5025,downward_arrow,***
2016,Sales fluoroquinolones+ 3rd- and 4th-generation cephalosporins (mg/kg biomass),0.82,mg/kg biomass,5,0.5025,downward_arrow,***
2017,Sales fluoroquinolones+ 3rd- and 4th-generation cephalosporins (mg/kg biomass),0.29,mg/kg biomass,6,0.5025,downward_arrow,***
2018,Sales fluoroquinolones+ 3rd- and 4th-generation cephalosporins (mg/kg biomass),0.44,mg/kg biomass,7,0.5025,downward_arrow,***
2019,Sales fluoroquinolones+ 3rd- and 4th-generation cephalosporins (mg/kg biomass),0.48,mg/kg biomass,8,0.5025,downward_arrow,***
2020,Sales fluoroquinolones+ 3rd- and 4th-generation cephalosporins (mg/kg biomass),0.73,mg/kg biomass,9,0.5025,downward_arrow,***
2021,Sales fluoroquinolones+ 3rd- and 4th-generation cephalosporins (mg/kg biomass),0.42,mg/kg biomass,10,0.5025,downward_arrow,***
2022,Sales fluoroquinolones+ 3rd- and 4th-generation cephalosporins (mg/kg biomass),0.42,mg/kg biomass,11,0.5025,downward_arrow,***
2011,Sales fluoroquinolones+ 3rd- and 4th-generation cephalosporins (mg/kg biomass),2.01,mg/kg biomass,0,0.5025,downward_arrow,***
2012,Sales fluoroquinolones+ 3rd- and 4th-generation cephalosporins (mg/kg biomass),2.07,mg/kg biomass,1,0.5025,downward_arrow,***
2013,Sales fluoroquinolones+ 3rd- and 4th-generation cephalosporins (mg/kg biomass),1.64,mg/kg biomass,2,0.5025,downward_arrow,***
2014,Sales fluoroquinolones+ 3rd- and 4th-generation cephalosporins (mg/kg biomass),1.69,mg/kg biomass,3,0.5025,downward_arrow,***
2015,Sales fluoroquinolones+ 3rd- and 4th-generation cephalosporins (mg/kg biomass),1.92,mg/kg biomass,4,0.5025,downward_arrow,***
2016,Sales fluoroquinolones+ 3rd- and 4th-generation cephalosporins (mg/kg biomass),0.82,mg/kg biomass,5,0.5025,downward_arrow,***
2017,Sales fluoroquinolones+ 3rd- and 4th-generation cephalosporins (mg/kg biomass),0.29,mg/kg biomass,6,0.5025,downward_arrow,***
2018,Sales fluoroquinolones+ 3rd- and 4th-generation cephalosporins (mg/kg biomass),0.44,mg/kg biomass,7,0.5025,downward_arrow,***
2019,Sales fluoroquinolones+ 3rd- and 4th-generation cephalosporins (mg/kg biomass),0.48,mg/kg biomass,8,0.5025,downward_arrow,***
2020,Sales fluoroquinolones+ 3rd- and 4th-generation cephalosporins (mg/kg biomass),0.73,mg/kg biomass,9,0.5025,downward_arrow,***
2021,Sales fluoroquinolones+ 3rd- and 4th-generation cephalosporins (mg/kg biomass),0.42,mg/kg biomass,10,0.5025,downward_arrow,***
2022,Sales fluoroquinolones+ 3rd- and 4th-generation cephalosporins (mg/kg biomass),0.42,mg/kg biomass,11,0.5025,downward_arrow,***
2011,Sales fluoroquinolones+ 3rd- and 4th-generation cephalosporins (mg/kg biomass),2.01,mg/kg biomass,0,0.5025,downward_arrow,***
2012,Sales fluoroquinolones+ 3rd- and 4th-generation cephalosporins (mg/kg biomass),2.07,mg/kg biomass,1,0.5025,downward_arrow,***
2013,Sales fluoroquinolones+ 3rd- and 4th-generation cephalosporins (mg/kg biomass),1.64,mg/kg biomass,2,0.5025,downward_arrow,***
2014,Sales fluoroquinolones+ 3rd- and 4th-generation cephalosporins (mg/kg biomass),1.69,mg/kg biomass,3,0.5025,downward_arrow,***
2015,Sales fluoroquinolones+ 3rd- and 4th-generation cephalosporins (mg/kg biomass),1.92,mg/kg biomass,4,0.5025,downward_arrow,***
2016,Sales fluoroquinolones+ 3rd- and 4th-generation cephalosporins (mg/kg biomass),0.82,mg/kg biomass,5,0.5025,downward_arrow,***
2017,Sales fluoroquinolones+ 3rd- and 4th-generation cephalosporins (mg/kg biomass),0.29,mg/kg biomass,6,0.5025,downward_arrow,***
2018,Sales fluoroquinolones+ 3rd- and 4th-generation cephalosporins (mg/kg biomass),0.44,mg/kg biomass,7,0.5025,downward_arrow,***
2019,Sales fluoroquinolones+ 3rd- and 4th-generation cephalosporins (mg/kg biomass),0.48,mg/kg biomass,8,0.5025,downward_arrow,***
2020,Sales fluoroquinolones+ 3rd- and 4th-generation cephalosporins (mg/kg biomass),0.73,mg/kg biomass,9,0.5025,downward_arrow,***
2021,Sales fluoroquinolones+ 3rd- and 4th-generation cephalosporins (mg/kg biomass),0.42,mg/kg biomass,10,0.5025,downward_arrow,***
2022,Sales fluoroquinolones+ 3rd- and 4th-generation cephalosporins (mg/kg biomass),0.42,mg/kg biomass,11,0.5025,downward_arrow,***
2011,Sales fluoroquinolones+ 3rd- and 4th-generation cephalosporins (mg/kg biomass),2.01,mg/kg biomass,0,0.5025,downward_arrow,***
2012,Sales fluoroquinolones+ 3rd- and 4th-generation cephalosporins (mg/kg biomass),2.07,mg/kg biomass,1,0.5025,downward_arrow,***
2013,Sales fluoroquinolones+ 3rd- and 4th-generation cephalosporins (mg/kg biomass),1.64,mg/kg biomass,2,0.5025,downward_arrow,***
2014,Sales fluoroquinolones+ 3rd- and 4th-generation cephalosporins (mg/kg biomass),1.69,mg/kg biomass,3,0.5025,downward_arrow,***
2015,Sales fluoroquinolones+ 3rd- and 4th-generation cephalosporins (mg/kg biomass),1.92,mg/kg biomass,4,0.5025,downward_arrow,***
2016,Sales fluoroquinolones+ 3rd- and 4th-generation cephalosporins (mg/kg biomass),0.82,mg/kg biomass,5,0.5025,downward_arrow,***
2017,Sales fluoroquinolones+ 3rd- and 4th-generation cephalosporins (mg/kg biomass),0.29,mg/kg biomass,6,0.5025,downward_arrow,***
2018,Sales fluoroquinolones+ 3rd- and 4th-generation cephalosporins (mg/kg biomass),0.44,mg/kg biomass,7,0.5025,downward_arrow,***
2019,Sales fluoroquinolones+ 3rd- and 4th-generation cephalosporins (mg/kg biomass),0.48,mg/kg biomass,8,0.5025,downward_arrow,***
2020,Sales fluoroquinolones+ 3rd- and 4th-generation cephalosporins (mg/kg biomass),0.73,mg/kg biomass,9,0.5025,downward_arrow,***
2021,Sales fluoroquinolones+ 3rd- and 4th-generation cephalosporins (mg/kg biomass),0.42,mg/kg biomass,10,0.5025,downward_arrow,***
2022,Sales fluoroquinolones+ 3rd- and 4th-generation cephalosporins (mg/kg biomass),0.42,mg/kg biomass,11,0.5025,downward_arrow,***
2011,Sales premixes (mg/kg biomass),28.1,mg/kg biomass,0,14.05,downward_arrow,***
2012,Sales premixes (mg/kg biomass),27.2,mg/kg biomass,1,14.05,downward_arrow,***
2013,Sales premixes (mg/kg biomass),25.3,mg/kg biomass,2,14.05,downward_arrow,***
2014,Sales premixes (mg/kg biomass),25.3,mg/kg biomass,3,14.05,downward_arrow,***
2015,Sales premixes (mg/kg biomass),24,mg/kg biomass,4,14.05,downward_arrow,***
2016,Sales premixes (mg/kg biomass),17.4,mg/kg biomass,5,14.05,downward_arrow,***
2017,Sales premixes (mg/kg biomass),9.4,mg/kg biomass,6,14.05,downward_arrow,***
2018,Sales premixes (mg/kg biomass),8.7,mg/kg biomass,7,14.05,downward_arrow,***
2019,Sales premixes (mg/kg biomass),8,mg/kg biomass,8,14.05,downward_arrow,***
2020,Sales premixes (mg/kg biomass),8.3,mg/kg biomass,9,14.05,downward_arrow,***
2021,Sales premixes (mg/kg biomass),7.2,mg/kg biomass,10,14.05,downward_arrow,***
2022,Sales premixes (mg/kg biomass),4.6,mg/kg biomass,11,14.05,downward_arrow,***
2011,Sales premixes (mg/kg biomass),28.1,mg/kg biomass,0,14.05,downward_arrow,***
2012,Sales premixes (mg/kg biomass),27.2,mg/kg biomass,1,14.05,downward_arrow,***
2013,Sales premixes (mg/kg biomass),25.3,mg/kg biomass,2,14.05,downward_arrow,***
2014,Sales premixes (mg/kg biomass),25.3,mg/kg biomass,3,14.05,downward_arrow,***
2015,Sales premixes (mg/kg biomass),24,mg/kg biomass,4,14.05,downward_arrow,***
2016,Sales premixes (mg/kg biomass),17.4,mg/kg biomass,5,14.05,downward_arrow,***
2017,Sales premixes (mg/kg biomass),9.4,mg/kg biomass,6,14.05,downward_arrow,***
2018,Sales premixes (mg/kg biomass),8.7,mg/kg biomass,7,14.05,downward_arrow,***
2019,Sales premixes (mg/kg biomass),8,mg/kg biomass,8,14.05,downward_arrow,***
2020,Sales premixes (mg/kg biomass),8.3,mg/kg biomass,9,14.05,downward_arrow,***
2021,Sales premixes (mg/kg biomass),7.2,mg/kg biomass,10,14.05,downward_arrow,***
2022,Sales premixes (mg/kg biomass),4.6,mg/kg biomass,11,14.05,downward_arrow,***
2011,Sales premixes (mg/kg biomass),28.1,mg/kg biomass,0,14.05,downward_arrow,***
2012,Sales premixes (mg/kg biomass),27.2,mg/kg biomass,1,14.05,downward_arrow,***
2013,Sales premixes (mg/kg biomass),25.3,mg/kg biomass,2,14.05,downward_arrow,***
2014,Sales premixes (mg/kg biomass),25.3,mg/kg biomass,3,14.05,downward_arrow,***
2015,Sales premixes (mg/kg biomass),24,mg/kg biomass,4,14.05,downward_arrow,***
2016,Sales premixes (mg/kg biomass),17.4,mg/kg biomass,5,14.05,downward_arrow,***
2017,Sales premixes (mg/kg biomass),9.4,mg/kg biomass,6,14.05,downward_arrow,***
2018,Sales premixes (mg/kg biomass),8.7,mg/kg biomass,7,14.05,downward_arrow,***
2019,Sales premixes (mg/kg biomass),8,mg/kg biomass,8,14.05,downward_arrow,***
2020,Sales premixes (mg/kg biomass),8.3,mg/kg biomass,9,14.05,downward_arrow,***
2021,Sales premixes (mg/kg biomass),7.2,mg/kg biomass,10,14.05,downward_arrow,***
2022,Sales premixes (mg/kg biomass),4.6,mg/kg biomass,11,14.05,downward_arrow,***
2011,Sales premixes (mg/kg biomass),28.1,mg/kg biomass,0,14.05,downward_arrow,***
2012,Sales premixes (mg/kg biomass),27.2,mg/kg biomass,1,14.05,downward_arrow,***
2013,Sales premixes (mg/kg biomass),25.3,mg/kg biomass,2,14.05,downward_arrow,***
2014,Sales premixes (mg/kg biomass),25.3,mg/kg biomass,3,14.05,downward_arrow,***
2015,Sales premixes (mg/kg biomass),24,mg/kg biomass,4,14.05,downward_arrow,***
2016,Sales premixes (mg/kg biomass),17.4,mg/kg biomass,5,14.05,downward_arrow,***
2017,Sales premixes (mg/kg biomass),9.4,mg/kg biomass,6,14.05,downward_arrow,***
2018,Sales premixes (mg/kg biomass),8.7,mg/kg biomass,7,14.05,downward_arrow,***
2019,Sales premixes (mg/kg biomass),8,mg/kg biomass,8,14.05,downward_arrow,***
2020,Sales premixes (mg/kg biomass),8.3,mg/kg biomass,9,14.05,downward_arrow,***
2021,Sales premixes (mg/kg biomass),7.2,mg/kg biomass,10,14.05,downward_arrow,***
2022,Sales premixes (mg/kg biomass),4.6,mg/kg biomass,11,14.05,downward_arrow,***
2011,Sales premixes (mg/kg biomass),28.1,mg/kg biomass,0,14.05,downward_arrow,***
2012,Sales premixes (mg/kg biomass),27.2,mg/kg biomass,1,14.05,downward_arrow,***
2013,Sales premixes (mg/kg biomass),25.3,mg/kg biomass,2,14.05,downward_arrow,***
2014,Sales premixes (mg/kg biomass),25.3,mg/kg biomass,3,14.05,downward_arrow,***
2015,Sales premixes (mg/kg biomass),24,mg/kg biomass,4,14.05,downward_arrow,***
2016,Sales premixes (mg/kg biomass),17.4,mg/kg biomass,5,14.05,downward_arrow,***
2017,Sales premixes (mg/kg biomass),9.4,mg/kg biomass,6,14.05,downward_arrow,***
2018,Sales premixes (mg/kg biomass),8.7,mg/kg biomass,7,14.05,downward_arrow,***
2019,Sales premixes (mg/kg biomass),8,mg/kg biomass,8,14.05,downward_arrow,***
2020,Sales premixes (mg/kg biomass),8.3,mg/kg biomass,9,14.05,downward_arrow,***
2021,Sales premixes (mg/kg biomass),7.2,mg/kg biomass,10,14.05,downward_arrow,***
2022,Sales premixes (mg/kg biomass),4.6,mg/kg biomass,11,14.05,downward_arrow,***
2011,Sales premixes (mg/kg biomass),28.1,mg/kg biomass,0,14.05,downward_arrow,***
2012,Sales premixes (mg/kg biomass),27.2,mg/kg biomass,1,14.05,downward_arrow,***
2013,Sales premixes (mg/kg biomass),25.3,mg/kg biomass,2,14.05,downward_arrow,***
2014,Sales premixes (mg/kg biomass),25.3,mg/kg biomass,3,14.05,downward_arrow,***
2015,Sales premixes (mg/kg biomass),24,mg/kg biomass,4,14.05,downward_arrow,***
2016,Sales premixes (mg/kg biomass),17.4,mg/kg biomass,5,14.05,downward_arrow,***
