age;sex;TIME_PERIOD;OBS_VALUE
Y1;F;2011;63241
Y1;F;2012;64238
Y1;F;2013;63306
Y1;F;2014;62992
Y1;F;2015;61532
Y1;F;2016;61491
Y1;F;2017;60213
Y1;F;2018;59832
Y1;F;2019;58977
Y1;F;2020;58594
Y1;F;2021;58196
Y1;F;2022;56466
Y1;M;2011;66339
Y1;M;2012;67168
Y1;M;2013;66349
Y1;M;2014;65561
Y1;M;2015;64555
Y1;M;2016;64797
Y1;M;2017;63150
Y1;M;2018;62866
Y1;M;2019;61619
Y1;M;2020;61025
Y1;M;2021;60291
Y1;M;2022;59083
Y10;F;2011;59965
Y10;F;2012;59567
Y10;F;2013;58596
Y10;F;2014;59259
Y10;F;2015;60863
Y10;F;2016;62020
Y10;F;2017;64108
Y10;F;2018;64686
Y10;F;2019;65982
Y10;F;2020;66304
Y10;F;2021;67241
Y10;F;2022;66457
Y10;M;2011;62844
Y10;M;2012;61913
Y10;M;2013;61299
Y10;M;2014;61897
Y10;M;2015;63918
Y10;M;2016;65281
Y10;M;2017;66705
Y10;M;2018;67576
Y10;M;2019;69683
Y10;M;2020;69535
Y10;M;2021;70279
Y10;M;2022;69516
Y11;F;2011;59458
Y11;F;2012;60279
Y11;F;2013;59798
Y11;F;2014;58782
Y11;F;2015;59530
Y11;F;2016;61190
Y11;F;2017;62252
Y11;F;2018;64346
Y11;F;2019;65037
Y11;F;2020;66351
Y11;F;2021;66604
Y11;F;2022;67594
Y11;M;2011;61872
Y11;M;2012;63166
Y11;M;2013;62114
Y11;M;2014;61514
Y11;M;2015;62145
Y11;M;2016;64371
Y11;M;2017;65535
Y11;M;2018;66973
Y11;M;2019;67890
Y11;M;2020;70073
Y11;M;2021;69912
Y11;M;2022;70681
Y12;F;2011;59745
Y12;F;2012;59705
Y12;F;2013;60519
Y12;F;2014;60021
Y12;F;2015;59012
Y12;F;2016;59839
Y12;F;2017;61433
Y12;F;2018;62503
Y12;F;2019;64721
Y12;F;2020;65399
Y12;F;2021;66626
Y12;F;2022;66961
Y12;M;2011;62445
Y12;M;2012;62162
Y12;M;2013;63429
Y12;M;2014;62294
Y12;M;2015;61802
Y12;M;2016;62509
Y12;M;2017;64616
Y12;M;2018;65745
Y12;M;2019;67302
Y12;M;2020;68350
Y12;M;2021;70419
Y12;M;2022;70309
Y13;F;2011;60716
Y13;F;2012;60032
Y13;F;2013;59951
Y13;F;2014;60774
Y13;F;2015;60205
Y13;F;2016;59330
Y13;F;2017;60125
Y13;F;2018;61663
Y13;F;2019;62831
Y13;F;2020;65087
Y13;F;2021;65725
Y13;F;2022;66975
Y13;M;2011;63268
Y13;M;2012;62702
Y13;M;2013;62405
Y13;M;2014;63678
Y13;M;2015;62591
Y13;M;2016;62221
Y13;M;2017;62829
Y13;M;2018;64878
Y13;M;2019;66106
Y13;M;2020;67687
Y13;M;2021;68590
Y13;M;2022;70807
Y14;F;2011;60838
Y14;F;2012;61010
Y14;F;2013;60252
Y14;F;2014;60149
Y14;F;2015;61017
Y14;F;2016;60549
Y14;F;2017;59557
Y14;F;2018;60351
Y14;F;2019;61950
Y14;F;2020;63096
Y14;F;2021;65390
Y14;F;2022;66035
Y14;M;2011;63309
Y14;M;2012;63619
Y14;M;2013;62942
Y14;M;2014;62632
Y14;M;2015;63870
Y14;M;2016;63148
Y14;M;2017;62537
Y14;M;2018;63109
Y14;M;2019;65303
Y14;M;2020;66487
Y14;M;2021;68050
Y14;M;2022;69042
Y15;F;2011;60159
Y15;F;2012;61157
Y15;F;2013;61224
Y15;F;2014;60420
Y15;F;2015;60439
Y15;F;2016;61359
Y15;F;2017;60732
Y15;F;2018;59781
Y15;F;2019;60742
Y15;F;2020;62287
Y15;F;2021;63387
Y15;F;2022;65714
Y15;M;2011;62913
Y15;M;2012;63697
Y15;M;2013;63880
Y15;M;2014;63150
Y15;M;2015;62877
Y15;M;2016;64748
Y15;M;2017;63551
Y15;M;2018;62912
Y15;M;2019;63507
Y15;M;2020;65863
Y15;M;2021;66993
Y15;M;2022;68687
Y16;F;2011;60393
Y16;F;2012;60560
Y16;F;2013;61504
Y16;F;2014;61551
Y16;F;2015;60653
Y16;F;2016;60805
Y16;F;2017;61633
Y16;F;2018;61008
Y16;F;2019;60184
Y16;F;2020;61160
Y16;F;2021;62544
Y16;F;2022;63704
Y16;M;2011;64040
Y16;M;2012;63700
Y16;M;2013;64151
Y16;M;2014;64145
Y16;M;2015;63478
Y16;M;2016;64347
Y16;M;2017;65267
Y16;M;2018;63940
Y16;M;2019;63533
Y16;M;2020;64253
Y16;M;2021;66638
Y16;M;2022;67957
Y17;F;2011;63321
Y17;F;2012;60950
Y17;F;2013;61057
Y17;F;2014;61846
Y17;F;2015;61809
Y17;F;2016;61100
Y17;F;2017;61143
Y17;F;2018;61977
Y17;F;2019;61436
Y17;F;2020;60522
Y17;F;2021;61454
Y17;F;2022;62929
Y17;M;2011;66171
Y17;M;2012;64925
Y17;M;2013;64194
Y17;M;2014;64382
Y17;M;2015;64515
Y17;M;2016;64577
Y17;M;2017;64562
Y17;M;2018;65654
Y17;M;2019;64534
Y17;M;2020;64045
Y17;M;2021;64759
Y17;M;2022;67335
Y18;F;2011;65981
Y18;F;2012;64133
Y18;F;2013;61640
Y18;F;2014;61666
Y18;F;2015;62396
Y18;F;2016;62632
Y18;F;2017;61684
Y18;F;2018;61806
Y18;F;2019;62760
Y18;F;2020;62125
Y18;F;2021;61187
Y18;F;2022;62318
Y18;M;2011;68700
Y18;M;2012;66806
Y18;M;2013;65440
Y18;M;2014;64491
Y18;M;2015;64938
Y18;M;2016;65740
Y18;M;2017;64959
Y18;M;2018;65141
Y18;M;2019;66381
Y18;M;2020;65319
Y18;M;2021;64744
Y18;M;2022;65808
Y19;F;2011;67374
Y19;F;2012;66940
Y19;F;2013;64872
Y19;F;2014;62274
Y19;F;2015;62262
Y19;F;2016;63295
Y19;F;2017;63216
Y19;F;2018;62384
Y19;F;2019;62590
Y19;F;2020;63558
Y19;F;2021;62816
Y19;F;2022;62210
Y19;M;2011;69966
Y19;M;2012;69446
Y19;M;2013;67318
Y19;M;2014;65701
Y19;M;2015;65021
Y19;M;2016;66234
Y19;M;2017;66241
Y19;M;2018;65550
Y19;M;2019;65835
Y19;M;2020;67310
Y19;M;2021;66009
Y19;M;2022;66258
Y2;F;2011;63440
Y2;F;2012;63685
Y2;F;2013;64596
Y2;F;2014;63615
Y2;F;2015;63394
Y2;F;2016;62103
Y2;F;2017;61898
Y2;F;2018;60651
Y2;F;2019;60251
Y2;F;2020;59475
Y2;F;2021;58936
Y2;F;2022;58617
Y2;M;2011;66873
Y2;M;2012;66840
Y2;M;2013;67515
Y2;M;2014;66633
Y2;M;2015;65969
Y2;M;2016;65175
Y2;M;2017;65222
Y2;M;2018;63561
Y2;M;2019;63303
Y2;M;2020;62120
Y2;M;2021;61335
Y2;M;2022;60748
Y20;F;2011;67767
Y20;F;2012;68514
Y20;F;2013;67895
Y20;F;2014;65744
Y20;F;2015;63066
Y20;F;2016;63301
Y20;F;2017;63978
Y20;F;2018;63984
Y20;F;2019;63284
Y20;F;2020;63591
Y20;F;2021;64310
Y20;F;2022;63864
Y20;M;2011;69882
Y20;M;2012;70840
Y20;M;2013;70288
Y20;M;2014;67902
Y20;M;2015;66403
Y20;M;2016;66815
Y20;M;2017;67091
Y20;M;2018;66904
Y20;M;2019;66532
Y20;M;2020;66897
Y20;M;2021;68131
Y20;M;2022;67245
Y21;F;2011;67532
Y21;F;2012;69010
Y21;F;2013;69519
Y21;F;2014;68831
Y21;F;2015;66682
Y21;F;2016;64224
Y21;F;2017;64147
Y21;F;2018;64838
Y21;F;2019;65044
Y21;F;2020;64316
Y21;F;2021;64349
Y21;F;2022;65567
Y21;M;2011;68802
Y21;M;2012;70790
Y21;M;2013;71601
Y21;M;2014;70594
Y21;M;2015;68520
Y21;M;2016;67781
Y21;M;2017;67417
Y21;M;2018;67652
Y21;M;2019;67766
Y21;M;2020;67614
Y21;M;2021;67685
Y21;M;2022;69426
Y22;F;2011;68069
Y22;F;2012;68778
Y22;F;2013;70274
Y22;F;2014;70606
Y22;F;2015;69855
Y22;F;2016;67962
Y22;F;2017;65146
Y22;F;2018;65263
Y22;F;2019;66055
Y22;F;2020;66229
Y22;F;2021;65299
Y22;F;2022;65803
Y22;M;2011;68934
Y22;M;2012;69644
Y22;M;2013;71649
Y22;M;2014;71980
Y22;M;2015;71311
Y22;M;2016;70026
Y22;M;2017;68263
Y22;M;2018;68027
Y22;M;2019;68460
Y22;M;2020;68643
Y22;M;2021;68256
Y22;M;2022;68884
Y23;F;2011;67782
Y23;F;2012;69306
Y23;F;2013;70016
Y23;F;2014;71413
Y23;F;2015;71654
Y23;F;2016;71087
Y23;F;2017;69022
Y23;F;2018;66304
Y23;F;2019;66616
Y23;F;2020;67563
Y23;F;2021;67401
Y23;F;2022;66818
Y23;M;2011;68238
Y23;M;2012;69989
Y23;M;2013;70534
Y23;M;2014;72080
Y23;M;2015;72735
Y23;M;2016;72806
Y23;M;2017;70562
Y23;M;2018;69003
Y23;M;2019;68918
Y23;M;2020;69413
Y23;M;2021;69508
Y23;M;2022;69626
Y24;F;2011;68297
Y24;F;2012;68965
Y24;F;2013;70605
Y24;F;2014;71071
Y24;F;2015;72403
Y24;F;2016;72965
Y24;F;2017;72094
Y24;F;2018;70199
Y24;F;2019;67723
Y24;F;2020;67977
Y24;F;2021;68572
Y24;F;2022;68921
Y24;M;2011;68791
Y24;M;2012;69244
Y24;M;2013;70826
Y24;M;2014;71130
Y24;M;2015;72939
Y24;M;2016;74293
Y24;M;2017;73420
Y24;M;2018;71288
Y24;M;2019;69922
Y24;M;2020;70074
Y24;M;2021;70299
Y24;M;2022;70855
Y25;F;2011;67702
Y25;F;2012;69482
Y25;F;2013;70083
Y25;F;2014;71651
Y25;F;2015;71914
Y25;F;2016;73587
Y25;F;2017;73786
Y25;F;2018;73148
Y25;F;2019;71377
Y25;F;2020;69012
Y25;F;2021;69089
Y25;F;2022;70012
Y25;M;2011;67475
Y25;M;2012;69851
Y25;M;2013;70248
Y25;M;2014;71393
Y25;M;2015;72028
Y25;M;2016;74487
Y25;M;2017;74735
Y25;M;2018;74027
Y25;M;2019;72348
Y25;M;2020;71098
Y25;M;2021;70903
Y25;M;2022;71533
Y26;F;2011;69039
Y26;F;2012;68713
Y26;F;2013;70475
Y26;F;2014;70877
Y26;F;2015;72383
Y26;F;2016;72908
Y26;F;2017;74320
Y26;F;2018;74571
Y26;F;2019;74232
Y26;F;2020;72506
Y26;F;2021;69947
Y26;F;2022;70327
Y26;M;2011;68827
Y26;M;2012;68451
Y26;M;2013;70823
Y26;M;2014;70704
Y26;M;2015;72253
Y26;M;2016;73610
Y26;M;2017;74852
Y26;M;2018;75384
Y26;M;2019;75012
Y26;M;2020;73544
Y26;M;2021;71988
Y26;M;2022;72085
Y27;F;2011;69191
Y27;F;2012;69981
Y27;F;2013;69661
Y27;F;2014;71056
Y27;F;2015;71618
Y27;F;2016;73240
Y27;F;2017;73461
Y27;F;2018;75005
Y27;F;2019;75460
Y27;F;2020;75171
Y27;F;2021;73363
Y27;F;2022;70967
Y27;M;2011;69791
Y27;M;2012;69747
Y27;M;2013;69479
Y27;M;2014;71192
Y27;M;2015;71346
Y27;M;2016;73577
Y27;M;2017;74036
Y27;M;2018;75389
Y27;M;2019;76129
Y27;M;2020;75952
Y27;M;2021;74219
Y27;M;2022;72941
Y28;F;2011;71163
Y28;F;2012;70022
Y28;F;2013;70762
Y28;F;2014;70196
Y28;F;2015;71683
Y28;F;2016;72516
Y28;F;2017;73817
Y28;F;2018;74037
Y28;F;2019;75827
Y28;F;2020;76333
Y28;F;2021;75815
Y28;F;2022;74223
Y28;M;2011;71852
Y28;M;2012;70563
Y28;M;2013;70582
Y28;M;2014;69815
Y28;M;2015;71793
Y28;M;2016;72525
Y28;M;2017;73794
Y28;M;2018;74678
Y28;M;2019;76066
Y28;M;2020;77096
Y28;M;2021;76684
Y28;M;2022;74933
Y29;F;2011;72233
Y29;F;2012;71942
Y29;F;2013;70764
Y29;F;2014;71240
Y29;F;2015;70708
Y29;F;2016;72375
Y29;F;2017;72883
Y29;F;2018;74429
Y29;F;2019;74727
Y29;F;2020;76704
Y29;F;2021;76920
Y29;F;2022;76514
Y29;M;2011;73100
Y29;M;2012;72558
Y29;M;2013;71327
Y29;M;2014;71053
Y29;M;2015;70356
Y29;M;2016;72796
Y29;M;2017;72806
Y29;M;2018;74271
Y29;M;2019;75369
Y29;M;2020;77020
Y29;M;2021;77669
Y29;M;2022;77379
Y3;F;2011;62553
Y3;F;2012;63823
Y3;F;2013;64034
Y3;F;2014;64828
Y3;F;2015;63914
Y3;F;2016;63884
Y3;F;2017;62393
Y3;F;2018;62278
Y3;F;2019;61183
Y3;F;2020;60758
Y3;F;2021;59727
Y3;F;2022;59316
Y3;M;2011;65449
Y3;M;2012;67265
Y3;M;2013;67162
Y3;M;2014;67811
Y3;M;2015;66985
Y3;M;2016;66437
Y3;M;2017;65528
Y3;M;2018;65510
Y3;M;2019;63970
Y3;M;2020;63769
Y3;M;2021;62386
Y3;M;2022;61830
Y30;F;2011;73654
Y30;F;2012;72923
Y30;F;2013;72583
Y30;F;2014;71172
Y30;F;2015;71635
Y30;F;2016;71429
Y30;F;2017;72701
Y30;F;2018;73350
Y30;F;2019;75156
Y30;F;2020;75565
Y30;F;2021;77236
Y30;F;2022;77511
Y30;M;2011;73950
Y30;M;2012;73802
Y30;M;2013;73141
Y30;M;2014;71623
Y30;M;2015;71429
Y30;M;2016;71334
Y30;M;2017;72999
Y30;M;2018;73290
Y30;M;2019;74948
Y30;M;2020;76052
Y30;M;2021;77469
Y30;M;2022;78306
Y31;F;2011;72077
Y31;F;2012;74241
Y31;F;2013;73466
Y31;F;2014;72963
Y31;F;2015;71678
Y31;F;2016;72187
Y31;F;2017;71813
Y31;F;2018;73147
Y31;F;2019;73868
Y31;F;2020;75872
Y31;F;2021;76119
Y31;F;2022;77812
Y31;M;2011;73987
Y31;M;2012;74494
Y31;M;2013;74427
Y31;M;2014;73392
Y31;M;2015;72013
Y31;M;2016;72185
Y31;M;2017;71581
Y31;M;2018;73490
Y31;M;2019;73753
Y31;M;2020;75872
Y31;M;2021;76504
Y31;M;2022;78020
Y32;F;2011;71633
Y32;F;2012;72576
Y32;F;2013;74830
Y32;F;2014;73755
Y32;F;2015;73304
Y32;F;2016;72147
Y32;F;2017;72445
Y32;F;2018;72087
Y32;F;2019;73695
Y32;F;2020;74569
Y32;F;2021;76357
Y32;F;2022;76624
Y32;M;2011;72935
Y32;M;2012;74465
Y32;M;2013;75042
Y32;M;2014;74650
Y32;M;2015;73676
Y32;M;2016;72790
Y32;M;2017;72271
Y32;M;2018;71918
Y32;M;2019;73988
Y32;M;2020;74465
Y32;M;2021;76343
Y32;M;2022;76934
Y33;F;2011;70922
Y33;F;2012;72239
Y33;F;2013;73009
Y33;F;2014;75106
Y33;F;2015;74054
Y33;F;2016;73775
Y33;F;2017;72317
Y33;F;2018;72784
Y33;F;2019;72643
Y33;F;2020;74306
Y33;F;2021;75037
Y33;F;2022;76850
Y33;M;2011;72053
Y33;M;2012;73347
Y33;M;2013;74927
Y33;M;2014;75229
Y33;M;2015;74879
Y33;M;2016;74327
Y33;M;2017;72967
Y33;M;2018;72618
Y33;M;2019;72481
Y33;M;2020;74573
Y33;M;2021;74982
Y33;M;2022;76746
Y34;F;2011;69921
Y34;F;2012;71441
Y34;F;2013;72663
Y34;F;2014;73271
Y34;F;2015;75558
Y34;F;2016;74497
Y34;F;2017;74106
Y34;F;2018;72636
Y34;F;2019;73252
Y34;F;2020;73174
Y34;F;2021;74744
Y34;F;2022;75515
Y34;M;2011;71803
Y34;M;2012;72440
Y34;M;2013;73700
Y34;M;2014;75099
Y34;M;2015;75504
Y34;M;2016;75479
Y34;M;2017;74261
Y34;M;2018;73229
Y34;M;2019;72996
Y34;M;2020;73089
Y34;M;2021;75014
Y34;M;2022;75382
Y35;F;2011;68945
Y35;F;2012;70404
Y35;F;2013;71805
Y35;F;2014;72906
Y35;F;2015;73607
Y35;F;2016;75925
Y35;F;2017;74755
Y35;F;2018;74414
Y35;F;2019;73002
Y35;F;2020;73823
Y35;F;2021;73586
Y35;F;2022;75269
Y35;M;2011;70813
Y35;M;2012;72065
Y35;M;2013;72821
Y35;M;2014;73709
Y35;M;2015;75321
Y35;M;2016;76113
Y35;M;2017;75499
Y35;M;2018;74526
Y35;M;2019;73509
Y35;M;2020;73550
Y35;M;2021;73388
Y35;M;2022;75406
Y36;F;2011;70877
Y36;F;2012;69403
Y36;F;2013;70793
Y36;F;2014;71974
Y36;F;2015;73240
Y36;F;2016;74021
Y36;F;2017;76125
Y36;F;2018;75060
Y36;F;2019;74845
Y36;F;2020;73562
Y36;F;2021;74267
Y36;F;2022;74086
Y36;M;2011;73090
Y36;M;2012;71183
Y36;M;2013;72385
Y36;M;2014;72952
Y36;M;2015;73930
Y36;M;2016;75758
Y36;M;2017;76034
Y36;M;2018;75816
Y36;M;2019;74900
Y36;M;2020;73892
Y36;M;2021;73937
Y36;M;2022;73816
Y37;F;2011;72692
Y37;F;2012;71202
Y37;F;2013;69791
Y37;F;2014;71032
Y37;F;2015;72258
Y37;F;2016;73630
Y37;F;2017;74186
Y37;F;2018;76384
Y37;F;2019;75349
Y37;F;2020;75314
Y37;F;2021;73972
Y37;F;2022;74581
Y37;M;2011;75228
Y37;M;2012;73329
Y37;M;2013;71401
Y37;M;2014;72499
Y37;M;2015;73187
Y37;M;2016;74253
Y37;M;2017;75765
Y37;M;2018;76301
Y37;M;2019;76082
Y37;M;2020;75315
Y37;M;2021;74187
Y37;M;2022;74260
Y38;F;2011;75619
Y38;F;2012;73022
Y38;F;2013;71541
Y38;F;2014;69870
Y38;F;2015;71267
Y38;F;2016;72616
Y38;F;2017;73809
Y38;F;2018;74423
Y38;F;2019;76731
Y38;F;2020;75743
Y38;F;2021;75668
Y38;F;2022;74376
Y38;M;2011;77569
Y38;M;2012;75485
Y38;M;2013;73644
Y38;M;2014;71485
Y38;M;2015;72691
Y38;M;2016;73612
Y38;M;2017;74307
Y38;M;2018;75888
Y38;M;2019;76560
Y38;M;2020;76491
Y38;M;2021;75701
Y38;M;2022;74533
Y39;F;2011;77255
Y39;F;2012;75867
Y39;F;2013;73231
Y39;F;2014;71701
Y39;F;2015;70064
Y39;F;2016;71483
Y39;F;2017;72818
Y39;F;2018;73991
Y39;F;2019;74700
Y39;F;2020;77170
Y39;F;2021;76101
Y39;F;2022;75994
Y39;M;2011;79114
Y39;M;2012;77629
Y39;M;2013;75747
Y39;M;2014;73576
Y39;M;2015;71687
Y39;M;2016;72966
Y39;M;2017;73490
Y39;M;2018;74429
Y39;M;2019;76106
Y39;M;2020;77019
Y39;M;2021;76749
Y39;M;2022;76021
Y4;F;2011;62400
Y4;F;2012;62920
Y4;F;2013;64173
Y4;F;2014;64312
Y4;F;2015;65119
Y4;F;2016;64381
Y4;F;2017;64207
Y4;F;2018;62753
Y4;F;2019;62663
Y4;F;2020;61628
Y4;F;2021;61084
Y4;F;2022;60112
