age;sex;TIME_PERIOD;OBS_VALUE
Y70;F;2012;41260
Y70;F;2013;44616
Y70;F;2014;50146
Y70;F;2015;52612
Y70;F;2016;52760
Y70;F;2017;61297
Y70;F;2018;60964
Y70;F;2019;61630
Y70;F;2020;60401
Y70;F;2021;60843
Y70;F;2022;60087
Y70;M;2011;40644
Y70;M;2012;36443
Y70;M;2013;39967
Y70;M;2014;45023
Y70;M;2015;47242
Y70;M;2016;46948
Y70;M;2017;56035
Y70;M;2018;55583
Y70;M;2019;55949
Y70;M;2020;55675
Y70;M;2021;55460
Y70;M;2022;54963
Y71;F;2011;50497
Y71;F;2012;46043
Y71;F;2013;40626
Y71;F;2014;44038
Y71;F;2015;49443
Y71;F;2016;51927
Y71;F;2017;52085
Y71;F;2018;60500
Y71;F;2019;60232
Y71;F;2020;60773
Y71;F;2021;59616
Y71;F;2022;60012
Y71;M;2011;43010
Y71;M;2012;39670
Y71;M;2013;35496
Y71;M;2014;38954
Y71;M;2015;43927
Y71;M;2016;46145
Y71;M;2017;45876
Y71;M;2018;54819
Y71;M;2019;54345
Y71;M;2020;54761
Y71;M;2021;54317
Y71;M;2022;54159
Y72;F;2011;50765
Y72;F;2012;49774
Y72;F;2013;45336
Y72;F;2014;40010
Y72;F;2015;43412
Y72;F;2016;48748
Y72;F;2017;51194
Y72;F;2018;51362
Y72;F;2019;59708
Y72;F;2020;59436
Y72;F;2021;59833
Y72;F;2022;58729
Y72;M;2011;42868
Y72;M;2012;41853
Y72;M;2013;38602
Y72;M;2014;34584
Y72;M;2015;37973
Y72;M;2016;42839
Y72;M;2017;44985
Y72;M;2018;44763
Y72;M;2019;53512
Y72;M;2020;53083
Y72;M;2021;53354
Y72;M;2022;53000
Y73;F;2011;48129
Y73;F;2012;49960
Y73;F;2013;48981
Y73;F;2014;44576
Y73;F;2015;39399
Y73;F;2016;42740
Y73;F;2017;47995
Y73;F;2018;50352
Y73;F;2019;50554
Y73;F;2020;58791
Y73;F;2021;58454
Y73;F;2022;58908
Y73;M;2011;40677
Y73;M;2012;41681
Y73;M;2013;40627
Y73;M;2014;37479
Y73;M;2015;33610
Y73;M;2016;36911
Y73;M;2017;41632
Y73;M;2018;43781
Y73;M;2019;43571
Y73;M;2020;52074
Y73;M;2021;51557
Y73;M;2022;51942
Y74;F;2011;46968
Y74;F;2012;47330
Y74;F;2013;49046
Y74;F;2014;48131
Y74;F;2015;43829
Y74;F;2016;38696
Y74;F;2017;42057
Y74;F;2018;47186
Y74;F;2019;49472
Y74;F;2020;49732
Y74;F;2021;57691
Y74;F;2022;57495
Y74;M;2011;38183
Y74;M;2012;39399
Y74;M;2013;40296
Y74;M;2014;39266
Y74;M;2015;36422
Y74;M;2016;32622
Y74;M;2017;35790
Y74;M;2018;40409
Y74;M;2019;42565
Y74;M;2020;42320
Y74;M;2021;50386
Y74;M;2022;49976
Y75;F;2011;46181
Y75;F;2012;46161
Y75;F;2013;46405
Y75;F;2014;48099
Y75;F;2015;47233
Y75;F;2016;42980
Y75;F;2017;37991
Y75;F;2018;41301
Y75;F;2019;46295
Y75;F;2020;48564
Y75;F;2021;48730
Y75;F;2022;56542
Y75;M;2011;36531
Y75;M;2012;36895
Y75;M;2013;38059
Y75;M;2014;38935
Y75;M;2015;37960
Y75;M;2016;35234
Y75;M;2017;31580
Y75;M;2018;34688
Y75;M;2019;39164
Y75;M;2020;41244
Y75;M;2021;40826
Y75;M;2022;48763
Y76;F;2011;46428
Y76;F;2012;45261
Y76;F;2013;45196
Y76;F;2014;45396
Y76;F;2015;47089
Y76;F;2016;46254
Y76;F;2017;42077
Y76;F;2018;37214
Y76;F;2019;40482
Y76;F;2020;45394
Y76;F;2021;47495
Y76;F;2022;47740
Y76;M;2011;35856
Y76;M;2012;35177
Y76;M;2013;35473
Y76;M;2014;36571
Y76;M;2015;37629
Y76;M;2016;36608
Y76;M;2017;33965
Y76;M;2018;30421
Y76;M;2019;33539
Y76;M;2020;37849
Y76;M;2021;39719
Y76;M;2022;39346
Y77;F;2011;45392
Y77;F;2012;45316
Y77;F;2013;44141
Y77;F;2014;44100
Y77;F;2015;44442
Y77;F;2016;46031
Y77;F;2017;45205
Y77;F;2018;41067
Y77;F;2019;36393
Y77;F;2020;39614
Y77;F;2021;44267
Y77;F;2022;46369
Y77;M;2011;34167
Y77;M;2012;34374
Y77;M;2013;33703
Y77;M;2014;33979
Y77;M;2015;35144
Y77;M;2016;36039
Y77;M;2017;35125
Y77;M;2018;32641
Y77;M;2019;29253
Y77;M;2020;32320
Y77;M;2021;36238
Y77;M;2022;38211
Y78;F;2011;46617
Y78;F;2012;44158
Y78;F;2013;44083
Y78;F;2014;42969
Y78;F;2015;42952
Y78;F;2016;43271
Y78;F;2017;44907
Y78;F;2018;44114
Y78;F;2019;40061
Y78;F;2020;35445
Y78;F;2021;38430
Y78;F;2022;43116
Y78;M;2011;33345
Y78;M;2012;32574
Y78;M;2013;32752
Y78;M;2014;32065
Y78;M;2015;32539
Y78;M;2016;33623
Y78;M;2017;34490
Y78;M;2018;33621
Y78;M;2019;31265
Y78;M;2020;28043
Y78;M;2021;30800
Y78;M;2022;34675
Y79;F;2011;45438
Y79;F;2012;45194
Y79;F;2013;42794
Y79;F;2014;42747
Y79;F;2015;41735
Y79;F;2016;41663
Y79;F;2017;41998
Y79;F;2018;43626
Y79;F;2019;42808
Y79;F;2020;38997
Y79;F;2021;34329
Y79;F;2022;37328
Y79;M;2011;31639
Y79;M;2012;31536
Y79;M;2013;30816
Y79;M;2014;31006
Y79;M;2015;30531
Y79;M;2016;30961
Y79;M;2017;32040
Y79;M;2018;32889
Y79;M;2019;32060
Y79;M;2020;29835
Y79;M;2021;26637
Y79;M;2022;29266
Y8;F;2011;58087
Y8;F;2012;58889
Y8;F;2013;60383
Y8;F;2014;61383
Y8;F;2015;63391
Y8;F;2016;64117
Y8;F;2017;65369
Y8;F;2018;65528
Y8;F;2019;66510
Y8;F;2020;65739
Y8;F;2021;65520
Y8;F;2022;64096
Y8;M;2011;60852
Y8;M;2012;61458
Y8;M;2013;63468
Y8;M;2014;64579
Y8;M;2015;66059
Y8;M;2016;66973
Y8;M;2017;68939
Y8;M;2018;68766
Y8;M;2019;69597
Y8;M;2020;68812
Y8;M;2021;68289
Y8;M;2022;67241
Y80;F;2011;44332
Y80;F;2012;43780
Y80;F;2013;43537
Y80;F;2014;41267
Y80;F;2015;41327
Y80;F;2016;40284
Y80;F;2017;40376
Y80;F;2018;40660
Y80;F;2019;42212
Y80;F;2020;41510
Y80;F;2021;37592
Y80;F;2022;33245
Y80;M;2011;29309
Y80;M;2012;29805
Y80;M;2013;29686
Y80;M;2014;29126
Y80;M;2015;29350
Y80;M;2016;28785
Y80;M;2017;29339
Y80;M;2018;30418
Y80;M;2019;31195
Y80;M;2020;30534
Y80;M;2021;28065
Y80;M;2022;25267
Y81;F;2011;39943
Y81;F;2012;42415
Y81;F;2013;41982
Y81;F;2014;41819
Y81;F;2015;39673
Y81;F;2016;39738
Y81;F;2017;38777
Y81;F;2018;38901
Y81;F;2019;39175
Y81;F;2020;40671
Y81;F;2021;39774
Y81;F;2022;36152
Y81;M;2011;25318
Y81;M;2012;27407
Y81;M;2013;27762
Y81;M;2014;27754
Y81;M;2015;27380
Y81;M;2016;27547
Y81;M;2017;27098
Y81;M;2018;27638
Y81;M;2019;28647
Y81;M;2020;29501
Y81;M;2021;28559
Y81;M;2022;26432
Y82;F;2011;37479
Y82;F;2012;38144
Y82;F;2013;40433
Y82;F;2014;39971
Y82;F;2015;39993
Y82;F;2016;37871
Y82;F;2017;38055
Y82;F;2018;37188
Y82;F;2019;37312
Y82;F;2020;37664
Y82;F;2021;38739
Y82;F;2022;38189
Y82;M;2011;22766
Y82;M;2012;23496
Y82;M;2013;25408
Y82;M;2014;25756
Y82;M;2015;25882
Y82;M;2016;25535
Y82;M;2017;25723
Y82;M;2018;25302
Y82;M;2019;25895
Y82;M;2020;26879
Y82;M;2021;27394
Y82;M;2022;26703
Y83;F;2011;34698
Y83;F;2012;35412
Y83;F;2013;36047
Y83;F;2014;38276
Y83;F;2015;38014
Y83;F;2016;37911
Y83;F;2017;36011
Y83;F;2018;36173
Y83;F;2019;35434
Y83;F;2020;35581
Y83;F;2021;35566
Y83;F;2022;36925
Y83;M;2011;20309
Y83;M;2012;20820
Y83;M;2013;21535
Y83;M;2014;23412
Y83;M;2015;23809
Y83;M;2016;23850
Y83;M;2017;23632
Y83;M;2018;23875
Y83;M;2019;23469
Y83;M;2020;24157
Y83;M;2021;24702
Y83;M;2022;25409
Y84;F;2011;32745
Y84;F;2012;32554
Y84;F;2013;33183
Y84;F;2014;33824
Y84;F;2015;36085
Y84;F;2016;35792
Y84;F;2017;35766
Y84;F;2018;34054
Y84;F;2019;34098
Y84;F;2020;33533
Y84;F;2021;33345
Y84;F;2022;33709
Y84;M;2011;17889
Y84;M;2012;18471
Y84;M;2013;18878
Y84;M;2014;19549
Y84;M;2015;21442
Y84;M;2016;21761
Y84;M;2017;21875
Y84;M;2018;21768
Y84;M;2019;21948
Y84;M;2020;21619
Y84;M;2021;21940
Y84;M;2022;22797
Y85;F;2011;30562
Y85;F;2012;30407
Y85;F;2013;30200
Y85;F;2014;30833
Y85;F;2015;31643
Y85;F;2016;33606
Y85;F;2017;33442
Y85;F;2018;33425
Y85;F;2019;31971
Y85;F;2020;32065
Y85;F;2021;31169
Y85;F;2022;31295
Y85;M;2011;15985
Y85;M;2012;16075
Y85;M;2013;16501
Y85;M;2014;16940
Y85;M;2015;17657
Y85;M;2016;19443
Y85;M;2017;19763
Y85;M;2018;19804
Y85;M;2019;19747
Y85;M;2020;20158
Y85;M;2021;19365
Y85;M;2022;19957
Y86;F;2011;27443
Y86;F;2012;28053
Y86;F;2013;27891
Y86;F;2014;27688
Y86;F;2015;28435
Y86;F;2016;29222
Y86;F;2017;31087
Y86;F;2018;30963
Y86;F;2019;30935
Y86;F;2020;29757
Y86;F;2021;29427
Y86;F;2022;28991
Y86;M;2011;13692
Y86;M;2012;14107
Y86;M;2013;14155
Y86;M;2014;14554
Y86;M;2015;15101
Y86;M;2016;15758
Y86;M;2017;17361
Y86;M;2018;17705
Y86;M;2019;17729
Y86;M;2020;17730
Y86;M;2021;17906
Y86;M;2022;17436
Y87;F;2011;24834
Y87;F;2012;25000
Y87;F;2013;25314
Y87;F;2014;25256
Y87;F;2015;25336
Y87;F;2016;25893
Y87;F;2017;26773
Y87;F;2018;28439
Y87;F;2019;28351
Y87;F;2020;28335
Y87;F;2021;26894
Y87;F;2022;27151
Y87;M;2011;11315
Y87;M;2012;11968
Y87;M;2013;12267
Y87;M;2014;12245
Y87;M;2015;12744
Y87;M;2016;13223
Y87;M;2017;13861
Y87;M;2018;15336
Y87;M;2019;15681
Y87;M;2020;15774
Y87;M;2021;15347
Y87;M;2022;15878
Y88;F;2011;21229
Y88;F;2012;22187
Y88;F;2013;22303
Y88;F;2014;22582
Y88;F;2015;22758
Y88;F;2016;22669
Y88;F;2017;23316
Y88;F;2018;24184
Y88;F;2019;25794
Y88;F;2020;25693
Y88;F;2021;25179
Y88;F;2022;24619
Y88;M;2011;9281
Y88;M;2012;9743
Y88;M;2013;10167
Y88;M;2014;10529
Y88;M;2015;10581
Y88;M;2016;10985
Y88;M;2017;11498
Y88;M;2018;12004
Y88;M;2019;13347
Y88;M;2020;13733
Y88;M;2021;13531
Y88;M;2022;13472
Y89;F;2011;18464
Y89;F;2012;18677
Y89;F;2013;19340
Y89;F;2014;19586
Y89;F;2015;20014
Y89;F;2016;20002
Y89;F;2017;20122
Y89;F;2018;20738
Y89;F;2019;21469
Y89;F;2020;23076
Y89;F;2021;22542
Y89;F;2022;22606
Y89;M;2011;7690
Y89;M;2012;7853
Y89;M;2013;8174
Y89;M;2014;8450
Y89;M;2015;9004
Y89;M;2016;8966
Y89;M;2017;9405
Y89;M;2018;9789
Y89;M;2019;10238
Y89;M;2020;11411
Y89;M;2021;11541
Y89;M;2022;11704
Y9;F;2011;59298
Y9;F;2012;58316
Y9;F;2013;59089
Y9;F;2014;60609
Y9;F;2015;61651
Y9;F;2016;63868
Y9;F;2017;64445
Y9;F;2018;65644
Y9;F;2019;65919
Y9;F;2020;66902
Y9;F;2021;66031
Y9;F;2022;65866
Y9;M;2011;61678
Y9;M;2012;61045
Y9;M;2013;61677
Y9;M;2014;63627
Y9;M;2015;64850
Y9;M;2016;66441
Y9;M;2017;67269
Y9;M;2018;69291
Y9;M;2019;69193
Y9;M;2020;69941
Y9;M;2021;69151
Y9;M;2022;68601
Y90;F;2011;15596
Y90;F;2012;15969
Y90;F;2013;16076
Y90;F;2014;16614
Y90;F;2015;17088
Y90;F;2016;17254
Y90;F;2017;17445
Y90;F;2018;17526
Y90;F;2019;18131
Y90;F;2020;18801
Y90;F;2021;19790
Y90;F;2022;19958
Y90;M;2011;5860
Y90;M;2012;6373
Y90;M;2013;6430
Y90;M;2014;6747
Y90;M;2015;7048
Y90;M;2016;7464
Y90;M;2017;7475
Y90;M;2018;7871
Y90;M;2019;8203
Y90;M;2020;8635
Y90;M;2021;9272
Y90;M;2022;9696
Y91;F;2011;9696
Y91;F;2012;13262
Y91;F;2013;13524
Y91;F;2014;13645
Y91;F;2015;14249
Y91;F;2016;14520
Y91;F;2017;14854
Y91;F;2018;14938
Y91;F;2019;15009
Y91;F;2020;15585
Y91;F;2021;15693
Y91;F;2022;17197
Y91;M;2011;3491
Y91;M;2012;4723
Y91;M;2013;5195
Y91;M;2014;5198
Y91;M;2015;5492
Y91;M;2016;5759
Y91;M;2017;6124
Y91;M;2018;6071
Y91;M;2019;6502
Y91;M;2020;6772
Y91;M;2021;6811
Y91;M;2022;7688
Y92;F;2011;5601
Y92;F;2012;8076
Y92;F;2013;10877
Y92;F;2014;11231
Y92;F;2015;11446
Y92;F;2016;11803
Y92;F;2017;12170
Y92;F;2018;12391
Y92;F;2019;12554
Y92;F;2020;12625
Y92;F;2021;12697
Y92;F;2022;13440
Y92;M;2011;1804
Y92;M;2012;2774
Y92;M;2013;3662
Y92;M;2014;4080
Y92;M;2015;4199
Y92;M;2016;4315
Y92;M;2017;4591
Y92;M;2018;4827
Y92;M;2019;4876
Y92;M;2020;5267
Y92;M;2021;5215
Y92;M;2022;5503
Y93;F;2011;4447
Y93;F;2012;4568
Y93;F;2013;6525
Y93;F;2014;8833
Y93;F;2015;9159
Y93;F;2016;9242
Y93;F;2017;9674
Y93;F;2018;10007
Y93;F;2019;10119
Y93;F;2020;10403
Y93;F;2021;10029
Y93;F;2022;10552
Y93;M;2011;1311
Y93;M;2012;1410
Y93;M;2013;2064
Y93;M;2014;2789
Y93;M;2015;3179
Y93;M;2016;3253
Y93;M;2017;3324
Y93;M;2018;3540
Y93;M;2019;3771
Y93;M;2020;3869
Y93;M;2021;3947
Y93;M;2022;4098
Y94;F;2011;3827
Y94;F;2012;3526
Y94;F;2013;3568
Y94;F;2014;5169
Y94;F;2015;7139
Y94;F;2016;7179
Y94;F;2017;7364
Y94;F;2018;7727
Y94;F;2019;7930
Y94;F;2020;8216
Y94;F;2021;8055
Y94;F;2022;8242
Y94;M;2011;1075
Y94;M;2012;969
Y94;M;2013;1038
Y94;M;2014;1505
Y94;M;2015;2102
Y94;M;2016;2327
Y94;M;2017;2466
Y94;M;2018;2517
Y94;M;2019;2692
Y94;M;2020;2888
Y94;M;2021;2827
Y94;M;2022;3034
Y95;F;2011;3476
Y95;F;2012;3017
Y95;F;2013;2684
Y95;F;2014;2691
Y95;F;2015;4020
Y95;F;2016;5446
Y95;F;2017;5557
Y95;F;2018;5713
Y95;F;2019;5924
Y95;F;2020;6193
Y95;F;2021;6184
Y95;F;2022;6377
Y95;M;2011;882
Y95;M;2012;782
Y95;M;2013;677
Y95;M;2014;772
Y95;M;2015;1132
Y95;M;2016;1517
Y95;M;2017;1712
Y95;M;2018;1814
Y95;M;2019;1825
Y95;M;2020;1992
Y95;M;2021;2039
Y95;M;2022;2088
Y96;F;2011;3035
Y96;F;2012;2599
Y96;F;2013;2240
Y96;F;2014;2016
Y96;F;2015;2010
Y96;F;2016;3027
Y96;F;2017;4105
Y96;F;2018;4129
Y96;F;2019;4276
Y96;F;2020;4506
Y96;F;2021;4519
Y96;F;2022;4802
Y96;M;2011;662
Y96;M;2012;615
Y96;M;2013;549
Y96;M;2014;460
Y96;M;2015;553
Y96;M;2016;819
Y96;M;2017;1102
Y96;M;2018;1210
Y96;M;2019;1244
Y96;M;2020;1284
Y96;M;2021;1323
Y96;M;2022;1495
Y97;F;2011;2074
Y97;F;2012;2232
Y97;F;2013;1875
Y97;F;2014;1644
Y97;F;2015;1489
Y97;F;2016;1430
Y97;F;2017;2184
Y97;F;2018;2994
Y97;F;2019;3016
Y97;F;2020;3140
Y97;F;2021;3180
Y97;F;2022;3395
Y97;M;2011;460
Y97;M;2012;479
Y97;M;2013;416
Y97;M;2014;354
Y97;M;2015;326
Y97;M;2016;389
Y97;M;2017;569
Y97;M;2018;752
Y97;M;2019;832
Y97;M;2020;855
Y97;M;2021;857
Y97;M;2022;933
Y98;F;2011;1421
Y98;F;2012;1498
Y98;F;2013;1555
Y98;F;2014;1322
Y98;F;2015;1151
Y98;F;2016;1031
Y98;F;2017;984
Y98;F;2018;1559
Y98;F;2019;2121
Y98;F;2020;2188
Y98;F;2021;2088
Y98;F;2022;2293
Y98;M;2011;244
Y98;M;2012;315
Y98;M;2013;306
Y98;M;2014;280
Y98;M;2015;247
Y98;M;2016;209
Y98;M;2017;273
Y98;M;2018;360
Y98;M;2019;515
Y98;M;2020;560
Y98;M;2021;545
Y98;M;2022;565
Y99;F;2011;974
Y99;F;2012;999
Y99;F;2013;1022
Y99;F;2014;1058
Y99;F;2015;903
Y99;F;2016;749
Y99;F;2017;713
Y99;F;2018;684
Y99;F;2019;1073
Y99;F;2020;1481
Y99;F;2021;1449
Y99;F;2022;1507
Y99;M;2011;164
Y99;M;2012;167
Y99;M;2013;197
Y99;M;2014;184
Y99;M;2015;202
Y99;M;2016;150
Y99;M;2017;125
Y99;M;2018;177
Y99;M;2019;224
Y99;M;2020;335
Y99;M;2021;334
Y99;M;2022;346
Y_LT1;F;2011;63694
Y_LT1;F;2012;62808
Y_LT1;F;2013;62560
Y_LT1;F;2014;61064
Y_LT1;F;2015;60774
Y_LT1;F;2016;59793
Y_LT1;F;2017;59434
Y_LT1;F;2018;58482
Y_LT1;F;2019;57925
Y_LT1;F;2020;57773
Y_LT1;F;2021;55785
Y_LT1;F;2022;57928
Y_LT1;M;2011;66518
Y_LT1;M;2012;65893
Y_LT1;M;2013;65104
Y_LT1;M;2014;64131
Y_LT1;M;2015;64029
Y_LT1;M;2016;62588
Y_LT1;M;2017;62345
Y_LT1;M;2018;61089
Y_LT1;M;2019;60344
Y_LT1;M;2020;59881
Y_LT1;M;2021;58431
Y_LT1;M;2022;60555
Y_OPEN;F;2011;1432
Y_OPEN;F;2012;1576
Y_OPEN;F;2013;1614
Y_OPEN;F;2014;1650
Y_OPEN;F;2015;1737
Y_OPEN;F;2016;1587
Y_OPEN;F;2017;1500
Y_OPEN;F;2018;1408
Y_OPEN;F;2019;1275
Y_OPEN;F;2020;1515
Y_OPEN;F;2021;1804
Y_OPEN;F;2022;2135
Y_OPEN;M;2011;198
Y_OPEN;M;2012;215
Y_OPEN;M;2013;216
Y_OPEN;M;2014;238
Y_OPEN;M;2015;262
Y_OPEN;M;2016;271
Y_OPEN;M;2017;256
Y_OPEN;M;2018;198
Y_OPEN;M;2019;210
Y_OPEN;M;2020;271
Y_OPEN;M;2021;354
Y_OPEN;M;2022;422
