Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"RP","Pesticides Use","056","Belgium","5157","Agricultural Use","1331","Fungicides and Bactericides","2011","2011","t","2353.86","A","Official figure"
"RP","Pesticides Use","056","Belgium","5157","Agricultural Use","1331","Fungicides and Bactericides","2012","2012","t","2600.74","A","Official figure"
"RP","Pesticides Use","056","Belgium","5157","Agricultural Use","1331","Fungicides and Bactericides","2013","2013","t","2490.2","A","Official figure"
"RP","Pesticides Use","056","Belgium","5157","Agricultural Use","1331","Fungicides and Bactericides","2014","2014","t","3096.03","A","Official figure"
"RP","Pesticides Use","056","Belgium","5157","Agricultural Use","1331","Fungicides and Bactericides","2015","2015","t","2607.71","A","Official figure"
"RP","Pesticides Use","056","Belgium","5157","Agricultural Use","1331","Fungicides and Bactericides","2016","2016","t","2857","A","Official figure"
"RP","Pesticides Use","056","Belgium","5157","Agricultural Use","1331","Fungicides and Bactericides","2017","2017","t","2496","A","Official figure"
"RP","Pesticides Use","056","Belgium","5157","Agricultural Use","1331","Fungicides and Bactericides","2018","2018","t","2458","A","Official figure"
"RP","Pesticides Use","056","Belgium","5157","Agricultural Use","1331","Fungicides and Bactericides","2019","2019","t","2450","A","Official figure"
"RP","Pesticides Use","056","Belgium","5157","Agricultural Use","1331","Fungicides and Bactericides","2020","2020","t","2204","A","Official figure"
"RP","Pesticides Use","056","Belgium","5157","Agricultural Use","1332","Fung & Bact – Inorganics","2011","2011","t","229.59","A","Official figure"
"RP","Pesticides Use","056","Belgium","5157","Agricultural Use","1332","Fung & Bact – Inorganics","2012","2012","t","244.3","A","Official figure"
"RP","Pesticides Use","056","Belgium","5157","Agricultural Use","1332","Fung & Bact – Inorganics","2013","2013","t","422.4","A","Official figure"
"RP","Pesticides Use","056","Belgium","5157","Agricultural Use","1332","Fung & Bact – Inorganics","2014","2014","t","272.01","A","Official figure"
"RP","Pesticides Use","056","Belgium","5157","Agricultural Use","1332","Fung & Bact – Inorganics","2015","2015","t","238.14","A","Official figure"
"RP","Pesticides Use","056","Belgium","5157","Agricultural Use","1332","Fung & Bact – Inorganics","2016","2016","t","281","A","Official figure"
"RP","Pesticides Use","056","Belgium","5157","Agricultural Use","1332","Fung & Bact – Inorganics","2017","2017","t","264","A","Official figure"
"RP","Pesticides Use","056","Belgium","5157","Agricultural Use","1332","Fung & Bact – Inorganics","2018","2018","t","323","A","Official figure"
"RP","Pesticides Use","056","Belgium","5157","Agricultural Use","1332","Fung & Bact – Inorganics","2019","2019","t","340","A","Official figure"
"RP","Pesticides Use","056","Belgium","5157","Agricultural Use","1332","Fung & Bact – Inorganics","2020","2020","t","424","A","Official figure"
"RP","Pesticides Use","056","Belgium","5157","Agricultural Use","1333","Fung & Bact – Dithiocarbamates","2011","2011","t","1243.08","A","Official figure"
"RP","Pesticides Use","056","Belgium","5157","Agricultural Use","1333","Fung & Bact – Dithiocarbamates","2012","2012","t","1317.45","A","Official figure"
"RP","Pesticides Use","056","Belgium","5157","Agricultural Use","1333","Fung & Bact – Dithiocarbamates","2013","2013","t","1118.7","A","Official figure"
"RP","Pesticides Use","056","Belgium","5157","Agricultural Use","1333","Fung & Bact – Dithiocarbamates","2014","2014","t","1655.67","A","Official figure"
"RP","Pesticides Use","056","Belgium","5157","Agricultural Use","1333","Fung & Bact – Dithiocarbamates","2015","2015","t","1240.6","A","Official figure"
"RP","Pesticides Use","056","Belgium","5157","Agricultural Use","1333","Fung & Bact – Dithiocarbamates","2016","2016","t","1388","A","Official figure"
"RP","Pesticides Use","056","Belgium","5157","Agricultural Use","1333","Fung & Bact – Dithiocarbamates","2017","2017","t","1158","A","Official figure"
"RP","Pesticides Use","056","Belgium","5157","Agricultural Use","1333","Fung & Bact – Dithiocarbamates","2018","2018","t","1182","A","Official figure"
"RP","Pesticides Use","056","Belgium","5157","Agricultural Use","1333","Fung & Bact – Dithiocarbamates","2019","2019","t","1178","A","Official figure"
"RP","Pesticides Use","056","Belgium","5157","Agricultural Use","1333","Fung & Bact – Dithiocarbamates","2020","2020","t","1029","A","Official figure"
"RP","Pesticides Use","056","Belgium","5157","Agricultural Use","1334","Fung & Bact – Benzimidazoles","2011","2011","t","29.56","A","Official figure"
"RP","Pesticides Use","056","Belgium","5157","Agricultural Use","1334","Fung & Bact – Benzimidazoles","2012","2012","t","39.25","A","Official figure"
"RP","Pesticides Use","056","Belgium","5157","Agricultural Use","1334","Fung & Bact – Benzimidazoles","2013","2013","t","36.2","A","Official figure"
"RP","Pesticides Use","056","Belgium","5157","Agricultural Use","1334","Fung & Bact – Benzimidazoles","2014","2014","t","52.99","A","Official figure"
"RP","Pesticides Use","056","Belgium","5157","Agricultural Use","1334","Fung & Bact – Benzimidazoles","2015","2015","t","33.45","A","Official figure"
"RP","Pesticides Use","056","Belgium","5157","Agricultural Use","1334","Fung & Bact – Benzimidazoles","2016","2016","t","41","A","Official figure"
"RP","Pesticides Use","056","Belgium","5157","Agricultural Use","1334","Fung & Bact – Benzimidazoles","2017","2017","t","37","A","Official figure"
"RP","Pesticides Use","056","Belgium","5157","Agricultural Use","1334","Fung & Bact – Benzimidazoles","2018","2018","t","23","A","Official figure"
"RP","Pesticides Use","056","Belgium","5157","Agricultural Use","1334","Fung & Bact – Benzimidazoles","2019","2019","t","27","A","Official figure"
"RP","Pesticides Use","056","Belgium","5157","Agricultural Use","1334","Fung & Bact – Benzimidazoles","2020","2020","t","21","A","Official figure"
"RP","Pesticides Use","056","Belgium","5157","Agricultural Use","1335","Fung & Bact – Triazoles, diazoles","2011","2011","t","125.67","A","Official figure"
"RP","Pesticides Use","056","Belgium","5157","Agricultural Use","1335","Fung & Bact – Triazoles, diazoles","2012","2012","t","147.33","A","Official figure"
"RP","Pesticides Use","056","Belgium","5157","Agricultural Use","1335","Fung & Bact – Triazoles, diazoles","2013","2013","t","146.5","A","Official figure"
"RP","Pesticides Use","056","Belgium","5157","Agricultural Use","1335","Fung & Bact – Triazoles, diazoles","2014","2014","t","172.03","A","Official figure"
"RP","Pesticides Use","056","Belgium","5157","Agricultural Use","1335","Fung & Bact – Triazoles, diazoles","2015","2015","t","170.48","A","Official figure"
"RP","Pesticides Use","056","Belgium","5157","Agricultural Use","1335","Fung & Bact – Triazoles, diazoles","2016","2016","t","182","A","Official figure"
"RP","Pesticides Use","056","Belgium","5157","Agricultural Use","1335","Fung & Bact – Triazoles, diazoles","2017","2017","t","175","A","Official figure"
"RP","Pesticides Use","056","Belgium","5157","Agricultural Use","1335","Fung & Bact – Triazoles, diazoles","2018","2018","t","154","A","Official figure"
"RP","Pesticides Use","056","Belgium","5157","Agricultural Use","1335","Fung & Bact – Triazoles, diazoles","2019","2019","t","147","A","Official figure"
"RP","Pesticides Use","056","Belgium","5157","Agricultural Use","1335","Fung & Bact – Triazoles, diazoles","2020","2020","t","139","A","Official figure"
"RP","Pesticides Use","056","Belgium","5157","Agricultural Use","1336","Fung & Bact – Diazines, morpholines","2011","2011","t","38.63","A","Official figure"
"RP","Pesticides Use","056","Belgium","5157","Agricultural Use","1336","Fung & Bact – Diazines, morpholines","2012","2012","t","42.59","A","Official figure"
"RP","Pesticides Use","056","Belgium","5157","Agricultural Use","1336","Fung & Bact – Diazines, morpholines","2013","2013","t","37.9","A","Official figure"
"RP","Pesticides Use","056","Belgium","5157","Agricultural Use","1336","Fung & Bact – Diazines, morpholines","2014","2014","t","43.23","A","Official figure"
"RP","Pesticides Use","056","Belgium","5157","Agricultural Use","1336","Fung & Bact – Diazines, morpholines","2015","2015","t","45.89","A","Official figure"
"RP","Pesticides Use","056","Belgium","5157","Agricultural Use","1336","Fung & Bact – Diazines, morpholines","2016","2016","t","54","A","Official figure"
"RP","Pesticides Use","056","Belgium","5157","Agricultural Use","1336","Fung & Bact – Diazines, morpholines","2017","2017","t","42","A","Official figure"
"RP","Pesticides Use","056","Belgium","5157","Agricultural Use","1336","Fung & Bact – Diazines, morpholines","2018","2018","t","42","A","Official figure"
"RP","Pesticides Use","056","Belgium","5157","Agricultural Use","1336","Fung & Bact – Diazines, morpholines","2019","2019","t","32","A","Official figure"
"RP","Pesticides Use","056","Belgium","5157","Agricultural Use","1336","Fung & Bact – Diazines, morpholines","2020","2020","t","32","A","Official figure"
"RP","Pesticides Use","056","Belgium","5157","Agricultural Use","1337","Fung & Bact – Other","2011","2011","t","687.33","A","Official figure"
"RP","Pesticides Use","056","Belgium","5157","Agricultural Use","1337","Fung & Bact – Other","2012","2012","t","809.82","A","Official figure"
"RP","Pesticides Use","056","Belgium","5157","Agricultural Use","1337","Fung & Bact – Other","2013","2013","t","728.5","A","Official figure"
"RP","Pesticides Use","056","Belgium","5157","Agricultural Use","1337","Fung & Bact – Other","2014","2014","t","900.1","A","Official figure"
"RP","Pesticides Use","056","Belgium","5157","Agricultural Use","1337","Fung & Bact – Other","2015","2015","t","879.14","A","Official figure"
"RP","Pesticides Use","056","Belgium","5157","Agricultural Use","1337","Fung & Bact – Other","2016","2016","t","911","A","Official figure"
"RP","Pesticides Use","056","Belgium","5157","Agricultural Use","1337","Fung & Bact – Other","2017","2017","t","819","A","Official figure"
"RP","Pesticides Use","056","Belgium","5157","Agricultural Use","1337","Fung & Bact – Other","2018","2018","t","734","A","Official figure"
"RP","Pesticides Use","056","Belgium","5157","Agricultural Use","1337","Fung & Bact – Other","2019","2019","t","726","A","Official figure"
"RP","Pesticides Use","056","Belgium","5157","Agricultural Use","1337","Fung & Bact – Other","2020","2020","t","559","A","Official figure"
